nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-6577150089600160,-77,-5441116466001388,-126,4812855994704311,-101,7901184667935488,-156,5676000284971073,-141,7659197999087616,-195,7150165420233374,-97,5643812731201653,-150,-6515105962470107,-122,5204164352203016,-178,-7681875565699984,-126,-8951097030079558,-180,-6995223185326356,-122,4812855994702302,-101,6545735955010198,-73
5866696119280532,-72,-5149797066144404,-129,6184932624633806,-90,-7659993408589974,-146,7672738083738562,-130,5787829208612864,-184,5878345037069226,-91,8607297086315796,-146,7819680352637797,-112,-8089500740214924,-165,5726771701314088,-110,7772460555470621,-164,7681691789473537,-110,6184932624631987,-90,-5593474719978294,-72
-6338461534403776,-79,5840637655174048,-128,6293877114436002,-91,7388575379668658,-145,8274168416272056,-132,7793338417676288,-187,6104387094239974,-92,4570300726042864,-145,5087681118760082,-118,-6916075957937854,-172,5102663355788488,-111,-7768538974417088,-167,5142410864528801,-111,6293877114430725,-91,-7359330102005857,-73
-4965922032501424,-76,8442202805577088,-126,8758555006432561,-93,-6518771811886032,-151,8378404277036004,-135,-4606953720381440,-189,8687114409286747,-94,5730187479926439,-148,5985945656252177,-116,-7064683954154722,-171,-8545425410587325,-114,-8761685055553982,-168,-7048938996524281,-114,8758555006420658,-93,7249049418501631,-74
-4926729445547924,-72,-5772755837752600,-128,7182843262441601,-90,8273096047753268,-144,5734888614964939,-129,7854911068831744,-183,7187161084791046,-91,-7021478536785566,-146,6873098908694870,-113,-7381852636052938,-168,8181148726086602,-110,-8041688534589402,-164,4520143044836730,-109,7182843262441103,-90,-5668205135098465,-72
-5358756304144976,-71,-5300510076905216,-127,7523455862819163,-90,8722660014218019,-144,6291965379930533,-129,6327689417850880,-184,7528146244658536,-91,6785991120762160,-146,-5923265822293688,-111,-6663115989612601,-166,7598900618076744,-111,-6885107127240046,-165,6702539183132222,-113,7523455862817912,-90,-8024384941705345,-76
4762271388879756,-71,-4561056267685338,-125,5859345230567259,-90,8213678519508488,-145,7652476268300781,-130,6746603348033536,-184,5870578273933579,-91,4683635420070343,-145,-7877377876789314,-111,-7126243556653617,-166,5020819579269229,-111,5281760467560951,-164,-5713116595040169,-112,5859345230564457,-90,8782411261358107,-75
8401230509251141,-72,-7787944828931852,-127,7879969966256109,-91,7776805245830300,-145,7231447892031917,-131,-5783431162101760,-185,8070631453845988,-92,-4710692372455289,-145,7349534841075705,-111,5827446505147742,-165,-4509596584499037,-114,7937655848904116,-167,6785835268013326,-111,7879969966249840,-91,-7756548645569657,-73
-6060932452149504,-79,7647913793504938,-126,5992836756376006,-97,-6668825601032390,-151,8642335069545675,-138,-6808175999188992,-192,6238719179352191,-95,-8189745943907377,-149,-4874856149185099,-121,5969090388066202,-176,5082047829720905,-117,4711785471134947,-171,4777369320396837,-117,5992836756370706,-97,-7180358673470776,-73
4645283185677200,-75,6696046996815744,-127,6642464018549267,-93,-5267337104721272,-147,4582143766400614,-135,8800491068719104,-189,6424350700097224,-94,6750848609350452,-148,5075884139954880,-115,-8586550746306790,-169,5454413949149507,-114,-5484447288407648,-170,7992356019126947,-114,6642464018539486,-93,-5418828237396570,-73
5689060539600486,-72,8373477432103764,-128,5814055989142669,-90,8074680356267842,-145,7376552654329360,-130,-7876901301387264,-185,5763769581213023,-91,8518753053001651,-147,-8080539915690297,-112,-6089708102883696,-166,-5443773693511156,-110,6771153319560458,-164,-7463908672433730,-110,5814055989140603,-90,5781584556234835,-72
-5943060753748461,-74,5135245139507488,-130,7993088706847613,-90,5390778808960640,-148,6941144251639820,-129,-8065192667643904,-183,7906975991516599,-91,-5028709919442994,-148,5542803426179094,-120,7732727971743035,-174,-5226404528726936,-109,-7146356087932399,-164,-5223698081741497,-109,7993088706847613,-90,5886446553326232,-72
