nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-9007143475965788,-53,4503599627370496,-52,6179255348101120,-92,5275309667037126,-72,-7331688646318059,-73,4752715744485876,-80,-7294558054564263,-73,9007199254735564,-53,7294558054568659,-73
4997514022192619,-53,4503599627370497,-52,6986846638702592,-92,5609452728970608,-72,6323696070876928,-74,4666840668436794,-72,6247764686156026,-72,9007199254737715,-53,-6247764686158299,-72
-5004662237789879,-59,9007199254740990,-53,7406310324699136,-93,8167625899673085,-73,5358673059210036,-79,8167318088706815,-73,8251047355256972,-73,9007199254731598,-53,-8251047355265577,-73
-4989540413327132,-56,4503599627370496,-52,5328233348202496,-94,4898594668015288,-73,6776689287908669,-76,-4886836907737636,-73,-8079501493498105,-74,9007199254725881,-53,8079501493511660,-74
-7805872060875878,-54,9007199254740991,-53,8911541743124480,-92,6335141361771814,-72,4799765263653992,-75,5709505135089983,-72,6309475793046732,-72,9007199254740217,-53,-6309475793047275,-72
-8291929205208054,-53,4503599627370496,-52,4619872982007808,-91,6450745420533876,-72,-7853893993992640,-74,5038453562312373,-73,8892052522528424,-76,9007199254739155,-53,-8892052522530238,-76
8347556105021261,-53,4503599627370497,-52,7221592371232768,-92,5702908092552914,-72,-6708621873962204,-73,8569004484603012,-74,-4848239263321396,-74,9007199254735702,-53,4848239263324243,-74
8979853850901218,-53,9007199254740990,-53,5071497383116800,-92,4779120601618593,-72,4665357935101104,-72,-5953884174562084,-76,8586480348381948,-73,9007199254732145,-53,-8586480348390382,-73
7404750557143999,-65,9007199254740991,-53,7076456836366336,-93,7983674388571071,-73,8474681719076088,-85,7983674227763275,-73,7985743241854846,-73,9007199254730261,-53,-7985743241864360,-73
5397548210915439,-55,4503599627370496,-52,7692183347920896,-95,8323762858150403,-74,7616708661925900,-75,8229824968909579,-74,6019089649936264,-73,9007199254724679,-53,-6019089649947165,-73
5006101409759051,-53,4503599627370497,-52,7089650975899648,-92,5650570722789737,-72,-6964609734649761,-74,-4697451997698825,-72,-6438604431361265,-72,9007199254737030,-53,6438604431364097,-72
-8922142024928420,-56,4503599627370496,-52,4827955557564416,-91,6594418677944011,-72,6932588009851609,-83,-6543672948755511,-72,-6540287896016326,-72,4503599627370496,-52,6540287896016326,-72
-5112924405059116,-57,9007199254740991,-53,5937362789990400,-92,5171025512271644,-72,6628217821343108,-78,-5167770125099197,-72,-5064204221640711,-72,9007199254737549,-53,5064204221642647,-72
-9001356285304671,-53,4503599627370496,-52,4993981813358592,-93,6706846447286055,-73,-5580450890828610,-72,-7729204860511165,-78,-5701219716774097,-72,9007199254728398,-53,5701219716782069,-72
-7044925060070748,-53,4503599627370496,-52,5100909319159808,-91,6778267228284645,-72,7995292489898227,-76,-8447049041181370,-73,-7447637479944092,-73,9007199254740827,-53,7447637479944228,-73
-8779193361064770,-53,4503599627370497,-52,5378810883080192,-93,6960461290566355,-73,5509791298856654,-72,6224797352457783,-75,6287890967913877,-72,9007199254728088,-53,-6287890967922885,-72
-8138705285587693,-53,9007199254740991,-53,4840050185469952,-92,4668795156326413,-72,7921108325872209,-73,-8000896364606530,-74,7841320287137888,-74,9007199254733231,-53,-7841320287144644,-74
6850820056988931,-55,9007199254740990,-53,8056121696714752,-93,8518397345906790,-73,-7577047565079094,-75,-8362982159703609,-73,-5128622025486691,-72,9007199254730969,-53,5128622025492398,-72
6413199343335673,-53,4503599627370496,-52,6484919580622848,-93,7642706511023525,-73,-7548062911953138,-73,-5366488347134066,-73,-6457275629543602,-72,9007199254729644,-53,6457275629551737,-72
6942932848675857,-53,4503599627370496,-52,5112729069158400,-92,4798508594418486,-72,-6371921201204222,-73,6113804075305955,-73,-8259748028744544,-78,9007199254734092,-53,8259748028750871,-78
-8861645878510272,-53,4503599627370496,-52,6614661952700416,-95,7718780875936742,-74,5907438666693952,-72,5528130893502775,-76,6252946847537875,-72,9007199254726430,-53,-6252946847547984,-72
-6411056310312194,-53,4503599627370497,-52,5671280976068608,-93,7147192300552150,-73,7813256118739980,-73,5020276273452639,-73,6416766196096310,-72,9007199254728826,-53,-6416766196104977,-72
-8928901914676282,-53,4503599627370496,-52,5512951301668864,-93,7046719155452073,-73,-5143342980386395,-72,7416938989765297,-76,-4679784293526064,-72,9007199254730120,-53,4679784293531713,-72
-7670156819773818,-54,9007199254740991,-53,5870842336509952,-92,5141976600399612,-72,-6770639128068899,-74,-4652599667593820,-72,-6345259449611045,-72,9007199254734608,-53,6345259449615542,-72
-6549653824218351,-54,4503599627370496,-52,4628943952936960,-93,6457075229787214,-73,-8267269901055706,-74,-6015175199640777,-73,-5074405075084315,-72,9007199254727940,-53,5074405075091668,-72
7656550751335709,-55,4503599627370496,-52,8037429999042560,-92,6016424748029723,-72,4506771804005463,-75,-5879000357622030,-72,-5315653882121347,-72,9007199254738154,-53,5315653882123022,-72
-7458538563296266,-53,4503599627370497,-52,8224346975764480,-96,6085981102124667,-74,-4904755729634903,-72,-6824008520999350,-75,-5757756794759822,-72,9007199254726823,-53,5757756794768879,-72
5718309731956828,-55,4503599627370496,-52,6244676289953792,-92,5303161492212477,-72,-6242732124395229,-76,5235940966336979,-72,4845770208562277,-72,9007199254738551,-53,-4845770208563590,-72
-7517729901987979,-53,9007199254740990,-53,6896136929411072,-99,7881299347898368,-76,5554704822774450,-72,8682077088839635,-77,5826019731800689,-72,9007199254723100,-53,-5826019731812262,-72
-5143490232511221,-53,9007199254740991,-53,7553644882821120,-93,8248465588163928,-73,5907427205760273,-73,-6771336606806920,-73,-6911275208373176,-76,9007199254730185,-53,6911275208381468,-76
-8279530040692671,-57,4503599627370496,-52,7819726696742912,-94,5934384402580481,-73,5319829306695849,-76,5924582816746617,-73,6589561480083598,-73,9007199254727464,-53,-6589561480093495,-73
4855874680348880,-55,9007199254740991,-53,6597619522469888,-92,5450966595286353,-72,-6396322107279042,-76,-5401231293942127,-72,-5801001425647067,-72,9007199254737438,-53,5801001425649356,-72
8978521074187842,-53,4503599627370496,-52,6852156464300032,-96,5555120997719668,-74,-6389446506669867,-72,7087016609850211,-78,-6278711872140957,-72,9007199254724397,-53,6278711872152525,-72
-7786584429704257,-53,9007199254740991,-53,7041272464277504,-95,7963802112852165,-74,-5303066223486443,-72,8006160332614677,-75,-8604592363819217,-73,9007199254725792,-53,8604592363833738,-73
7152799655170878,-53,9007199254740990,-53,8031932440903680,-92,6014366795259399,-72,4975880321655907,-73,-7310590574069794,-73,-4669420504827774,-74,9007199254737026,-53,4669420504829830,-74
-5981126720588668,-53,9007199254740991,-53,6554738568986624,-92,5433223552993120,-72,-6625145705342730,-74,8124825307327861,-73,4812252454656496,-73,9007199254738478,-53,-4812252454657839,-73
8962651707508619,-57,9007199254740991,-53,8118244103684096,-92,6046595829080560,-72,-5274440581101964,-78,-6034891271031794,-72,-6117304405111512,-72,9007199254740282,-53,6117304405111994,-72
8701995331120812,-53,9007199254740991,-53,5095136883113984,-94,4790245982013221,-73,5735033496505544,-72,4945639969640965,-75,6353238492710665,-72,9007199254726758,-53,-6353238492720705,-72
-4955166800449597,-54,4503599627370496,-52,6825768185233408,-92,5544414040774242,-72,7669402280834001,-75,5330538578785926,-72,6289213863890176,-72,9007199254736086,-53,-6289213863893602,-72
-6791432559141871,-53,4503599627370497,-52,8138035312984064,-92,6053961744435041,-72,-4799238714336726,-74,-7953378518055078,-73,-5176498937611720,-72,9007199254739971,-53,5176498937612307,-72
