nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-7.8299297301453675900489781631869197e-01,9.9999999999999999999999999999999981e-01,8.1805673020911999721739266794962789e-01,9.0446488611173844575592909622899229e-01,-4.3077232947946251760412439516775251e-02,-4.2759282868418851414704572568111117e-01,-4.7067006163213476590745816519788641e-01,8.3657793215202288423597460979969646e-01,5.6261352773360585695107591175369902e-01
-3.1674959862247972109418503987486821e-01,9.9999999999999999999999999999999990e-01,9.0269991696026994934823963919624403e-02,3.0044964918606078301693297858162951e-01,3.0728876853873703405693780379335599e-02,-6.0503111011138300690799429832472389e-03,2.4678565752759873336613837396088359e-02,1.0073582797700556654633249887192857e-01,-2.4498300404492747823946489572940381e-01
1.6642391112423709245825547652152100e-01,9.9999999999999999999999999999999990e-01,3.5844355926602236104780348475157410e-02,1.8932605717809219750734976132250126e-01,2.6830617843959979799918325745246462e-02,3.5874272283636068516601103836313688e-02,6.2704890127596048316519429581560147e-02,6.3601131803298274253532980203197363e-02,-9.8590840052227265588904089703559409e-01
3.1963504443284471642518792925446963e-02,1.0000000000000000000000000000000002e+00,1.0913515416239594243807896189073950e-02,1.0446777214164947551357428334837691e-01,-5.0436386474430818955614359249441406e-03,1.9749928339227831944539293862694824e-02,1.4706289691784750048977857937750684e-02,3.6762639493898651642140855192355349e-02,-4.0003356380940748763741318772339919e-01
-1.6379201823245319460898879660326382e-02,1.0000000000000000000000000000000002e+00,1.2502652038804717171013044954641115e-03,3.5359089409662004432274069900324238e-02,1.5802866486142168347208017981115988e-03,-3.6043591690126901808629051540322911e-03,-2.0240725203984733461421033559206922e-03,1.0659197698036354684210815420511813e-02,1.8988976260111485585731305357524963e-01
-2.0634098408885727641941928250974879e-01,9.9999999999999999999999999999999990e-01,2.3543190761848110196283329891102342e-01,4.8521325993678398438537833269523111e-01,2.1743846900417472821725695011978051e-02,2.2111365485791636990571522507027980e-01,2.4285750175833384272744092008225784e-01,2.5024279640853057657997811613716880e-01,-9.7048748353123432778769680837098036e-01
-1.4322133149031049066178401557821069e-01,1.0000000000000000000000000000000002e+00,2.1566430511940707809829511436287585e-02,1.4685513444187338937220069950367242e-01,-6.8262451349201210368310058644672235e-03,8.5395656738807729279276226984637724e-03,1.7133205389606518910966168339965490e-03,2.3893724465857332749801051686451087e-02,-7.1705879985721016048870488993030104e-02
1.1048023215021441108424596542940368e-01,1.0000000000000000000000000000000000e+00,9.3626287512013634826577154188276966e-03,9.6760677711565060547958340691477787e-02,-6.3297072960455184346939675683110892e-03,2.1229595752249313582427452737512619e-03,-4.2067477208205870764512222945598273e-03,1.2687259039637143327209152667580138e-02,3.3157262003384620845143929363450329e-01
5.9680063202433968897284461680339238e-03,9.9999999999999999999999999999999990e-01,1.3573426410213266308432164465078083e-02,1.1650504886146894496066565859633689e-01,9.7046113839780226227040880940711686e-04,2.3623485368265067159623960137536138e-02,2.4593946506662869421894368946943255e-02,4.1150442794792517494898087762888205e-02,-5.9765934061285896982247240388768596e-01
1.3238645955423355561454215616805877e-01,1.0000000000000000000000000000000000e+00,1.4640450848804315820470667914051538e-02,1.2099773075890438293567493156720379e-01,9.6660322764493241129289124616634753e-03,6.1155087820649063762764420930267082e-03,1.5781541058514230489205354554690185e-02,2.0080703085697659458009452647743454e-02,-7.8590580176221632896582626678689029e-01
