nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-6113953158879936,-71,-6866287960448064,-122,6975471117590052,-89,-5852965750825968,-143,8281810545124071,-118,-6137293517619200,-174,6107205489008357,-85,7620426687965437,-139,-7287071661438720,-102,-4783947151812992,-157,6840981302912781,-104,6086515588718072,-157,-5576826335710525,-102,6975470926924707,-89,7201174879955740,-66
6271549113127114,-65,6668214935679688,-121,7271300421774664,-76,-8636539920100853,-130,5766965211759302,-101,6188097276477440,-155,7207232808608004,-77,-6085152827122499,-132,4917063895993538,-90,-8404076766039772,-144,7660527860739887,-89,-8333782419014484,-142,5059529904368327,-88,7271300380522954,-76,-6267406323363661,-65
-6222654360899200,-70,5445233858810234,-119,7679157593521333,-77,-8833152269167320,-132,6476622126872174,-103,7527342368882688,-157,7637815525030836,-78,7002166041359604,-133,6098389765506285,-95,-5085399608152054,-148,7050376662955354,-90,6168939315798534,-144,7240951343127426,-90,7679157464610654,-77,-8493209293077041,-66
-4930954911231904,-69,8521419601809944,-120,5050530062845580,-78,7889065544516051,-132,5647033424675985,-106,5564265423437824,-161,5043012753019717,-79,-4538064245177236,-133,6855177902330331,-95,-6439282146013196,-150,-5329298201398171,-92,-6655599156300887,-146,-8944801927213760,-93,5050529933141005,-78,7976154415394117,-67
-5395976650921082,-65,5547186397998700,-120,8552260538407686,-76,6196109976825519,-130,8121937086036791,-101,5317439290081280,-157,8553122568302398,-77,-5359369512195142,-136,8963807739727485,-92,-8845348828836891,-148,5307234866444725,-88,-6550169520197377,-142,5867472850177692,-88,8552260526833116,-76,-6179593911751841,-65
-5604211691689430,-64,-7814650550048992,-121,8231511600785182,-76,-6143845652590149,-130,7524407367976307,-101,5515494694060032,-155,8232486649682696,-77,8118508679236646,-132,-6777588508486416,-90,-8774731395285199,-144,8701061224206972,-90,5529276016438716,-144,7693890862882223,-92,8231511576247064,-76,-8418916429175082,-69
4996845973932356,-64,6646792281727936,-122,6485863423287011,-76,-6063932443871242,-131,4673489688426558,-101,-4946688988938240,-156,6488070039590772,-77,6321701908187197,-133,-4575610979784022,-89,-6276953609010587,-142,5933805534587438,-90,-7208831100491889,-144,-6434832849961216,-91,6485863367015813,-76,8936330966407823,-68
-4900670764216736,-66,6594138097966683,-119,6428990180533513,-80,-8869696953649664,-140,8710157784054759,-111,-7587008188776448,-167,8857433415003156,-82,8752695266107416,-137,-8123536925634716,-93,-5810217264683256,-147,8739985117769284,-97,4556985871806712,-150,-7577287855774136,-93,6428989996134257,-80,5307998734523268,-65
8967478633690311,-65,-5680598491175548,-119,4509819272914661,-76,7635895936791196,-130,4553729261831544,-102,4703192394760192,-158,4528595080897680,-77,6381705047186074,-133,8997403877397984,-90,-5463774649331851,-145,-7311149294736920,-93,8710144061302504,-147,8083510215555869,-90,4509819205357152,-76,-8072362091894535,-66
5869718344838000,-69,-4692857725129444,-118,8007120111533386,-84,-4595344040171840,-139,6002878462044795,-114,-8501295056945152,-170,5199477012624954,-83,-5927579901152567,-138,5460354711019588,-97,-7683639134954612,-152,6048546141065803,-99,-6485008610585166,-153,6972491246286038,-97,8007119879234526,-84,-7843346784417017,-66
-8230703762189427,-66,4870292506895856,-120,7812966721883817,-79,-7783898465903484,-133,5152432794952433,-107,-4906095508193280,-161,6812414317317951,-80,-7756503119292703,-134,5098690284117841,-91,-8300117537092552,-146,-4904809062267802,-95,5095777735295942,-153,4792139717726103,-91,7812966515862002,-79,-5524631035661749,-65
