nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-2.1047700677914309961456178791979498e-07,1.0000000000000000000000000000000000e+00,6.0806115137565955300907621733423691e-14,2.4658895988581069340628311987906884e-07,-2.7850840045922279728795815808604120e-15,-3.1847837336717628100248028813568444e-14,-3.4632921341309856073127610394428857e-14,6.0981207531312283864110255808867570e-14,5.6792777223256427735823045782187997e-01
-3.6580721862461592394897447137160440e-08,1.0000000000000000000000000000000000e+00,1.2670295971887676233304312121505561e-15,3.5595359208593016013961045909804518e-08,3.4533827674245158248437594627294641e-16,-1.5102829753458928354961869365976290e-16,1.9430997920786229893475725261318351e-16,1.3561515906973194976544412932715127e-15,-1.4328042715928981320172880757637841e-01
1.6556980189412527629997862757977098e-08,1.0000000000000000000000000000000004e+00,3.1895514025273292237087331591096546e-16,1.7859315223511032545584521195735180e-08,2.7558486854337005198596074107536492e-16,3.2040695319746343245661350546798334e-16,5.9599182174083348444257424654334831e-16,5.9599896746480695272202131408276537e-16,-9.9998801050947476645393020590910519e-01
3.6056481051951036668738950192896347e-09,1.0000000000000000000000000000000000e+00,1.0549125305599439582511313151322906e-16,1.0270893488689014529124206145787889e-08,-5.7708104444946429674172036561315808e-17,1.9177933072275568965134393692361086e-16,1.3407122627780925997717190036229507e-16,3.6164867263553635542875479871392281e-16,-3.7072229603597649344689834070703711e-01
-2.2404576416821709603139283861112503e-08,1.0000000000000000000000000000000000e+00,2.8661282987174792009257854351666485e-15,5.3536233512617220734874738396511360e-08,2.6029374279126701314247460410009098e-16,2.6763503970598158466678929132994912e-15,2.9366441398510828598103675173995822e-15,3.0011034992614723464530033172647847e-15,-9.7852144738551936255894077099354734e-01
2.4797300218723508762613857759039597e-09,9.9999999999999999999999999999999990e-01,2.2063014795784692729743840889371453e-16,1.4853624068147373417200203304943951e-08,4.1056438038032103689430870187212825e-17,3.2833206112066336407692642229926339e-16,3.6938849915869546776635729248647623e-16,4.9475836192033560572294078057228324e-16,-7.4660385268672469947170689388334552e-01
1.2061417840850182302177101314795225e-08,1.0000000000000000000000000000000000e+00,1.4106257043276394980838963682226582e-16,1.1876976485316620757512992083615198e-08,7.5650311200557675641391885784712304e-17,7.0188707202882282214984660771979741e-17,1.4583901840343995785637654655669205e-16,1.8040169689533894088190958741373957e-16,-8.0841267523137149120377034594371385e-01
-1.0298572588323567056660156810281901e-07,9.9999999999999999999999999999999990e-01,1.9049634059772048884639474240816407e-14,1.3802041175048004067101054638670351e-07,-1.1198271638133469295807190024048167e-15,1.2771035362071498710668805502054991e-14,1.1651208198258151781088086499650175e-14,1.9167869569288709498292265589129139e-14,-6.0785097457706200396263131745352299e-01
1.3241672384220967389922803843917089e-08,9.9999999999999999999999999999999990e-01,3.9201128438440112488863773720423712e-16,1.9799274844912909711002856490873655e-08,-1.6203047446688759367386069050225062e-16,-3.7898885238933882369929424331420599e-16,-5.4101932685622641737315493381645661e-16,5.4174090704126393166568993997497132e-16,9.9866803452414467168867819371184548e-01
-1.3055831845763721267036775203035833e-08,1.0000000000000000000000000000000002e+00,1.3692343671343937486484491911679248e-15,3.7003166987899748533713791384674770e-08,2.0385754191914364189635484430310352e-16,-1.4054315613736977125975650319005194e-15,-1.2015740194545540707012101875974158e-15,1.6130404128519590932085099221953671e-15,7.4491253280511056702087993868317530e-01
