nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-6698042106796267,-55,4503599627370497,-52,6764454511142021,-57,7805689567968211,-55,-5713506703917979,-61,-6999045332472325,-58,-7713233670462072,-58,6791321764529441,-57,5114956629730743,-53
-4797306544964299,-57,9007199254740991,-53,4646963162255918,-62,4574719834693724,-57,6285417838609407,-64,-4940530879721599,-66,5050285118679007,-64,5130686006085781,-62,-8866051109586170,-55
4922740414574207,-58,4503599627370497,-52,7226387617340107,-64,5704801186780103,-58,5267483919829699,-64,7115051496161719,-64,6191267707995709,-63,6193160246792923,-63,-9004446786959674,-53
7338989964302538,-61,4503599627370496,-52,8465581779186124,-66,6174592370854702,-59,-7583702019193696,-67,7553832204445343,-65,5657906699646919,-65,6927145847163007,-64,-7356838463178178,-54
-7543407170519054,-62,4503599627370496,-52,7486128571983552,-69,8211519451019129,-61,4690005462080026,-68,-5369498654322007,-67,-6048991846563988,-68,7900072359084167,-66,6896705799112670,-55
-6825418827337825,-58,9007199254740991,-53,7248298989772292,-61,8080029285764803,-57,5320990700232254,-64,6756748149180450,-61,7421871986709482,-61,7591563076422088,-61,-8805865031286719,-53
-8348781716289437,-59,4503599627370497,-52,8155053611001643,-65,8570542153643889,-59,-5156720834979235,-66,6451225478576151,-66,5178018574387664,-68,4507169012191551,-64,-5173917920329082,-56
6398396792480336,-59,4503599627370497,-52,6993726109536875,-66,5612213672058609,-59,-4725402708022447,-66,6347196082361180,-68,-6277207374864304,-67,4725209063773890,-65,5982810159893273,-54
5429148450877954,-63,4503599627370496,-52,5428911016642660,-65,6992802246822008,-59,5782705802759894,-69,4607133758140751,-64,4787843314476998,-64,7825890267490243,-64,-5510562665709857,-53
7670560346935600,-59,4503599627370496,-52,5460390676407417,-65,7013046900679586,-59,7255067163231364,-66,4538308084021873,-66,5896687623626618,-65,7475258102443537,-65,-7105124617919008,-53
-6550651261120379,-56,4503599627370496,-52,8755570727412332,-59,8880493799940429,-56,-4797131904538536,-62,5968155185599034,-59,5368513697531717,-59,8832220290698024,-59,-5474871661251658,-53
8026170284100568,-59,9007199254740991,-53,8126495689383198,-64,6049668003992790,-58,-6551360230879596,-65,-7834448539658167,-64,-5555064327548982,-63,5564446228477708,-63,8992012720882367,-53
-7784534511311578,-59,9007199254740991,-53,5004176284297276,-62,4747294645296149,-57,7865247748746325,-65,-5156810921971481,-62,-8347309906756381,-63,6155080889483552,-62,6107627578029825,-53
