nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-9.9999380731194835308039317936850323e-01,1.0000000000000000000000000000000000e+00,1.2479129221387949565734260223640929e-12,1.1171002292269010883543297163121939e-06,-7.7627273030520940143992585768678872e-07,3.9313893569773913281388798875381840e-09,-7.7234134094823201011178697779925057e-07,9.9999999999939739318469444014081999e-01,7.7234134094869742826758489794627673e-07
5.5483551333253209435353162989919048e-01,1.0000000000000000000000000000000000e+00,1.4109636059776883175220632430531287e-12,1.1878398907166269761358616354126228e-06,3.3477368252845760849496914856867485e-07,9.8823535511015041098542710028931903e-07,1.3230090376386080194803962488579938e-06,9.9999999999963593903420777571875036e-01,-1.3230090376390896754283909770508823e-06
-8.6817050732286841332942751130991829e-03,9.9999999999999999999999999999999990e-01,7.4785382469386813702833108879520318e-13,8.6478542118485562327383377994021809e-07,8.8651809271774878655177291551914652e-09,8.6475283026561180037164600167144513e-07,8.7361801119278928823716373082663660e-07,9.9999999999895728613057921720179980e-01,-8.7361801119370022185401120272470032e-07
-6.9243783114668636686941175714308799e-02,1.0000000000000000000000000000000004e+00,2.6896533336740837436065074162878066e-13,5.1861867818987041797653879138363303e-07,8.9688735940061161513564967686826853e-08,-5.1737387340259462306204308154325787e-07,-4.2768513746253346154847811385643102e-07,9.9999999999832230028199060627258780e-01,4.2768513746325098878299701883327504e-07
-4.3331294446313109210533489782775486e-01,9.9999999999999999999999999999999990e-01,1.7996346864623527480867729256738951e-12,1.3415046352742702126450531332415160e-06,1.2704872866880170603995079898875194e-07,1.2090223668984236330976579424143231e-06,1.3360710955672253391376087414030750e-06,9.9999999999991403190143987575429690e-01,-1.3360710955673401986292358076854806e-06
-9.2058907221837558070706391630628833e-01,1.0000000000000000000000000000000000e+00,1.8659144085187902574455444721459694e-12,1.3659847760933466045586553753668407e-06,-4.1578168607215213975378377830194744e-07,5.3346167089960801758248198189055755e-07,1.1767998482745587782869820358861010e-07,9.9999999999979601460140871952478260e-01,-1.1767998482747988282730945291119799e-07
9.2676489871448944936333288072761947e-01,1.0000000000000000000000000000000000e+00,1.4584998298114236433162396431800785e-12,1.2076836629728099635291250706836758e-06,-7.1030296973960899302231889718985758e-07,4.5365656240846137740727767091972689e-07,-2.5664640733114761561504122627013069e-07,9.9999999999941258084003323161675176e-01,2.5664640733129837463204426662801726e-07
9.9696405030394109327037634929808167e-01,1.0000000000000000000000000000000000e+00,1.0242180496848367741804350980771937e-12,1.0120365851513653526455882166036866e-06,9.8792797044123169581931386319264523e-07,-7.8800436192824863150015752314974437e-08,9.0912753424840683266929811087767075e-07,9.9999999999901804504418818508816693e-01,-9.0912753424929955495701918607000167e-07
2.0070616601942996389576278658223863e-04,1.0000000000000000000000000000000000e+00,7.1449524238287472175595029151023308e-13,8.4527820413333427070016599160238604e-07,2.1906538798702065942310901795766880e-10,8.4527818710767441428180039013245821e-07,8.4549725249566143494122349915041588e-07,9.9999999999880868639831223903130228e-01,-8.4549725249666868731831241177421736e-07
1.4981205750706595907129391799595952e-01,1.0000000000000000000000000000000002e+00,1.9418745016213688205727400389447618e-13,4.4066705136887291684669972649201305e-07,2.0161259957151408263433423396667214e-07,4.3569389999863214833781866764881933e-07,6.3730649957014623097215290161549143e-07,9.9999999999818890262308518443055373e-01,-6.3730649957130045510181724690295109e-07
