nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-6191133405569224,-57,5015011781974280,-108,5169622034055246,-61,8674007502211136,-115,5673539606347398,-63,-6556371812200704,-120,7148615370408159,-58,4635360138782280,-112,-7328787104021061,-65,-7431290628664485,-119,-8757692398128636,-64,-4586645438275339,-116,-6211042975069584,-63,5100399583764485,-61,5484286156156417,-54
-5198526635628212,-56,8481793874772672,-112,7130380904690514,-59,6034537322024702,-113,5203820445752857,-63,-8214597909023392,-118,6846301749177513,-58,-7658167797417162,-112,7998403942764972,-61,7844509051551217,-115,6717734426666793,-62,-8273128115112740,-116,5678635578049184,-60,5168362519950340,-59,-4948240564502986,-53
8686416434843053,-54,-7830385185597952,-117,6808394850503533,-53,-5943237400693688,-108,4800596555997430,-55,-7755033574000672,-109,6575707545313449,-54,-6090021793488255,-108,7327580298753223,-56,-6147096427181296,-113,8955064571467792,-55,-8486278074623637,-109,6309427360422202,-54,6270473669688163,-53,-4531577071550283,-53
7130326781997680,-58,4572312057197936,-109,7674831026128233,-54,8266910308403251,-109,5085024657066512,-57,-4842328724459056,-112,6767704950828534,-55,5707091837370054,-109,-6782317463136296,-60,8894129644794544,-118,7992899746015402,-56,8831489054554836,-109,7569004904569384,-56,6292847177273999,-54,-5416906959204216,-54
-8612591676083840,-58,8163862698372384,-110,6339057547252800,-55,-5310016302551136,-109,6254980959072156,-60,-7429859515822336,-117,5307535201624847,-56,6659337039156132,-110,6456217514059129,-60,-7768271731794658,-115,-7439768301834899,-58,7648694589409420,-114,-5825713923320117,-58,8913310224806883,-56,5887079523208234,-55
-6919920197034092,-54,5961354936082132,-109,7382258770698074,-53,-7493757284915684,-107,8356952293123235,-55,-6144357924577792,-109,8675986080355686,-54,7004874442481358,-109,5812688795720207,-57,8466522102125830,-111,7028277094699082,-54,5722382908212358,-107,7754863194164109,-54,7239932440273147,-53,-4823912278141233,-53
-7641756303497466,-53,7664410409395632,-110,8101230940461018,-53,8998468578986536,-107,5232712634081338,-54,6309252375417856,-108,4854486859492525,-53,7088051533560950,-107,-5438551996103427,-55,-6042806961450015,-109,6963219111526935,-55,-5018537007682947,-107,6098668461694026,-57,7641559669338276,-53,-7188574636601598,-57
6848443486743998,-53,-7882646900261834,-107,6963847707721986,-53,-6072727822279188,-107,6319127123121262,-55,7919872794444416,-111,7544377848039653,-54,-5564122276126562,-108,-7229602271417144,-55,-8662850277183608,-112,8773198801466203,-56,-5238658386936478,-110,-5686005741368085,-56,5968347055357021,-53,8581100629886206,-56
6042540487193998,-53,-6330849268226455,-107,5051739674679236,-53,-5670812559651704,-109,6310665837789733,-56,6629789169084568,-110,5331107981979877,-54,4729704145117964,-107,6468059093491194,-55,-6487858700189126,-109,-4788566534457166,-68,6055815175111395,-122,6467474551677905,-55,8107358292092024,-54,-7185303752857545,-54
-6585625983842068,-56,6650801215266129,-107,8616271963073839,-58,7173964635105056,-112,4585696213562355,-59,8518214112848584,-113,6426840554834656,-56,5697573079398182,-109,-6544043219935858,-61,-6349781935521948,-115,7296023897780499,-59,-7041223972491293,-113,5660013092796534,-59,8211675873252315,-58,-6208338772517786,-54
6975141806402072,-57,-7027369772438712,-109,5075638918374982,-55,8274829310652458,-109,6286504230647644,-61,-6573944723832544,-115,7524878485478390,-57,5433892176868636,-114,4863765057066965,-59,7168707030826128,-114,4554918115082889,-58,8486630004108692,-113,6986800643616372,-58,6769375076911065,-56,-4648250749530159,-54
8120419742522880,-54,8747015338340799,-108,6472626461623983,-53,-6679427056978268,-107,5270248944945190,-55,6305678890886144,-114,6889860838159927,-54,7977543604259782,-109,-7037230259217695,-56,-6935851435231912,-111,-4615168049935627,-54,-5156890653806996,-108,-6374475614740051,-54,5871748765760631,-53,4889188408507587,-53
-6784782080307878,-55,7146059049890432,-111,4573318149845088,-56,-7190348485124858,-112,6651073131640545,-61,8642504862669376,-117,7739996185692894,-57,6660825090733673,-111,5500005779421361,-58,5512864399293160,-112,-7331702207390722,-60,-6513693326549702,-114,7334160455147361,-59,7131215037225293,-57,-4631766412940603,-54
-8481755929256587,-56,8790596193182112,-112,8145955504928206,-53,8895727246446564,-107,5361501017118962,-54,-7565238151291928,-110,4913863447720489,-53,8462588868442437,-109,5043048089202819,-64,-4722156074179296,-120,-4637082316116708,-53,-8042953313001778,-109,-4634619890291902,-53,8145883083706258,-53,5124667809846794,-53
4551871690190192,-59,-5920950604150208,-113,6897234185193772,-53,-5093086955576048,-111,4642137492416276,-56,-7457325278625152,-111,4572343893567997,-54,-4560691486565866,-108,-8416656368653748,-62,7835660637723886,-116,-7659062433379816,-55,8909686635601335,-109,-7724817561259923,-55,6318904980902725,-53,5505619343151635,-54
-8197305406639288,-54,7870113379654764,-108,4956539820693423,-54,6412498736546392,-108,6042032893172495,-58,7182223318300736,-112,5216406530002424,-55,5754576318794172,-114,-6904662825922843,-56,-4911704764937935,-109,-5178397608145144,-59,-7709245294730344,-113,-7551962526940987,-56,7598928216218695,-55,8951529651156939,-54
-6594847695597668,-56,5867755547724424,-107,7121466413539937,-59,-6270396387277056,-113,5467497165003450,-60,-8250975882444800,-119,4962198927386807,-56,4989947574463694,-110,5639355868528078,-65,5642806826532664,-122,-5004408395352641,-60,-8766209224602410,-114,-4828178524461139,-60,7118855042560150,-59,6108898937720628,-54
-4652275942650267,-53,-5779894564289965,-107,6959668495175139,-54,6644373435339390,-108,5891958527150843,-58,-6465500782218240,-113,5151215606763024,-55,4644407759373324,-109,5034991865763448,-55,-8894605342513296,-110,7660395652397992,-59,4997120622080030,-118,5513766594038322,-55,4961479520914289,-54,-5004917801967050,-53
-5705448630750846,-53,6621754990803720,-106,5598841425961431,-53,-7021373504521344,-111,8813048876096067,-57,8196313250172448,-113,8909595235967144,-55,4527274863152203,-109,6524997370487781,-55,-5185968306224016,-110,-5818098702885684,-56,-6496870566408178,-111,7231896038089878,-56,4574245597669144,-53,-7120204546716930,-55
-4566506633336352,-58,6009488648939040,-108,4734527709479170,-61,-5338962696802112,-115,5269757624256014,-63,-7655042146871898,-117,6889539675904656,-58,-8386101737818137,-112,8848753840196937,-66,5074702342073950,-121,-4569140346231198,-62,-5699412690134914,-117,-8032186462437779,-63,4540457076234884,-61,7966984678379945,-54
8049729432531162,-54,-4581156118674527,-108,8644089348115911,-54,7103404036091698,-108,7321204625995121,-58,7789146733353600,-114,5742105400071892,-55,-6160743033686506,-109,-4717260282370780,-55,5552729855392856,-109,-4522670691550732,-56,8341407225001095,-110,-6978595628146145,-55,6390897246077466,-54,4917744639029891,-53
4924886203175127,-53,-5737812258046088,-108,5779941354088032,-53,7346093717152110,-109,4786279978311217,-56,6730688796561504,-111,4642788895353014,-54,6627591891712408,-108,-5428351357361487,-55,7203929562383597,-110,4544468108201439,-55,7418935985107059,-108,-7071065993280376,-58,4850227406222658,-53,6565723110548062,-57
-6121586738271283,-54,6124121110183697,-107,6032085162720000,-54,7677402841651516,-110,7312021307534902,-58,-7579128933646336,-114,5738502978646897,-55,5973944506237514,-110,5761310097892927,-56,7394919356083840,-109,8532200042702160,-57,8989135603646095,-112,5013705059622004,-55,4569213529845366,-54,-4941708259150538,-53
