nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-5824207643724376,-57,5783588258315544,-109,4971874463280107,-61,7955730246531174,-115,7373825729097974,-66,7005822617616672,-120,5762704122706684,-59,5987207756999306,-115,-5259182599168899,-67,7095510395164648,-120,-8427482345655654,-65,6652828176293074,-119,-4871138997723939,-64,4969993524692954,-61,8828043604493320,-56
-4722819631693504,-56,6186261059674320,-109,6363551996270424,-60,6698882071916856,-114,4823998539560386,-65,-4633163280497792,-119,6591715713712170,-59,-6700391611901470,-114,8441147811135501,-63,5950547202487341,-118,6723487930591617,-64,-8066022120946109,-121,5901445888215655,-62,6124075150488799,-60,-8679759424896620,-55
4630948939736897,-54,-8945285720165208,-109,6513746428852487,-55,5698322483708036,-110,8157643297638406,-61,-5509585584716032,-116,8571902859396594,-57,-7183275916347421,-111,6533999058094244,-59,8330658260793955,-113,5755381638538279,-58,-7841827528119616,-114,4511190583792701,-57,6441487326148471,-55,-6308045084461544,-55
4822474027059300,-57,-6517781070578944,-108,5359346532246567,-56,-5886006243933696,-113,8239579170187466,-63,-8219255024271360,-119,8614843664344231,-58,6923275170467282,-112,-6350362437427970,-62,-7262841468287050,-116,4607135536013747,-59,4958154692616997,-115,7626680462670502,-60,5232817882605284,-56,-6563865982023433,-56
-5608576293920368,-58,-7872359997120960,-112,5380779690980136,-57,-6208398604405276,-112,5570466666283691,-64,8658417161613312,-121,5008707578063926,-58,5661675826624233,-114,8088718890817769,-63,-7887899878207424,-121,-7473013011472106,-61,-5171127718923417,-116,-5450833288767664,-61,5067246765738925,-57,4844518513314007,-56
-6641687522018340,-55,-4597696152667800,-110,6909555441240188,-55,8719204127173800,-109,5634604762926508,-59,5271952120685696,-113,7124044344429061,-56,-4606419109283107,-115,4545272626869679,-60,-7275635243563792,-113,5651173832914612,-57,-8317453920968035,-113,6219332911273322,-57,6892145942035096,-55,-8127914184426876,-55
-4628895677536682,-53,8148411243285928,-110,5660337516469727,-54,-5784659842579316,-112,7752934344548236,-58,6769788569053056,-112,5908985718812947,-55,-5978910445301321,-110,-8008104203647390,-58,-4883668373406980,-111,5117322941333962,-57,-6766114954158990,-113,8906166716082133,-60,5602099653531853,-54,-7159781436333378,-58
8136397344477560,-54,-6902529227611195,-107,8536328816183697,-55,5786446717148004,-109,8640713621868234,-59,-6777340312643584,-119,8822053575858735,-56,8196694206644848,-112,-4958642846894514,-57,6624705145599330,-112,5750420484789438,-58,8242691133907546,-112,-8333730417999178,-59,8306513660700147,-55,4518355923818917,-56
6613055603973752,-54,-7506735435136040,-109,5059475575736884,-55,4535869680265774,-109,7937665057310399,-60,6843588317893888,-115,5978968589505628,-56,5385515560896344,-111,6883209630425134,-58,8075516323990601,-112,6224135195450939,-61,4729709756494894,-116,7661226529856502,-58,4893412322833902,-55,-7050927792056783,-55
-7727345523888462,-56,-7967779987649424,-111,7609365689498650,-58,8402922578615416,-112,7352219546612984,-62,-5618793550759904,-116,5754255226393100,-57,6025453196787263,-111,-6744582505498277,-63,-5650955847640644,-117,5609851583838241,-60,-8977218835877253,-115,4766778770650956,-60,7595073799080393,-58,-5653049243013420,-55
8438403297694984,-58,7264895578531712,-109,4840233685386553,-57,-6897000370734974,-112,6148285960606834,-65,-7043149700455552,-119,7441695823017250,-59,-6084431951910841,-112,6497447269594573,-62,-4971089984441035,-115,5173916859180388,-61,-7517007145070212,-115,8422640493977674,-61,8954975673270700,-58,-8471759605863722,-56
8091871251303132,-55,-5963057652560411,-111,5836206096450357,-55,6281001186887230,-110,6924677340393243,-60,-4874585198424320,-115,5584440373918941,-56,6908494958594531,-110,-5867816231799190,-59,8991008424261020,-113,-7387735948411249,-58,6404852716478622,-114,-5160822032155422,-57,5758269961399080,-55,8072659439986887,-55
-7906049665803958,-56,-5553721439304527,-110,8358265208950845,-58,-5325053873995200,-114,4736164864743498,-63,-8203912276736512,-120,6531430213976729,-58,8107023011437008,-112,5775893775841579,-61,6044493037983790,-115,-6695432255773954,-61,-8512846879123183,-115,-7356307839459001,-64,8202365903582696,-58,8078124198321727,-59
-4722867853642824,-56,4614044952813770,-110,5055360133406261,-54,5982226845599906,-108,5411721331448339,-58,6525362810797824,-115,4936823490033212,-55,7838058755736020,-112,5820495739136746,-67,-8282763465641187,-122,-5190314235922096,-56,5495283784686441,-110,-5187472196986970,-56,5055353142341141,-54,4621298887643330,-54
-7801124783153980,-55,-7986415562869383,-108,7563753205229348,-57,-7779259483269964,-111,5934742576425844,-62,5536159268948288,-117,5169884375470234,-57,-8134303259498585,-112,-5048992290506389,-59,-8030500223408880,-117,-5142414087760163,-61,5521719086250688,-116,-6334595812446430,-59,7313528443115086,-57,7801564884138243,-55
-6642969514988450,-56,-7021504086699048,-109,7115788741217936,-59,7337337835541282,-113,5687337996640554,-62,-6415916295738944,-117,5060977502657018,-57,-4639202166476468,-110,6174782236526669,-67,6712045021829153,-122,-5020980862498229,-61,-5132645791359448,-113,-4924499890052501,-61,7115656809206286,-59,6233570972993659,-55
-5515884103439570,-54,-6911430160840308,-107,7328864467015024,-56,-8911395928463560,-110,5135503103992871,-62,-4530323645588480,-118,4809183908471615,-57,7153975421726743,-116,6739916156475782,-58,5658378860083588,-112,6277765564365681,-62,8354545817924182,-117,7132276504248637,-58,6875609835906060,-56,-4671719101787085,-54
-6165979177173851,-54,7968207019403408,-111,5747742838844124,-55,7785093469479348,-111,6532219341347064,-62,-6934067075131200,-116,5423882427891757,-57,6439411479719175,-112,6964985198566889,-58,6917929623831928,-115,-8366268256242756,-60,5884635658229106,-113,4873418134506200,-58,5560397941240904,-55,-7894371707390663,-56
-5978961794328768,-58,5018309417410247,-108,8515920148833664,-62,-5252269651281008,-116,8215160646037907,-66,4594254770957760,-120,6082581230389372,-59,-6274506520377161,-113,5429906014953276,-67,7320372827089900,-120,-7316440334370914,-64,4863365337827044,-119,-6637702082501754,-64,8500449780567157,-62,7033404913159017,-55
4960997321851659,-54,-7333002042559882,-109,4690672958169670,-55,5730748281296896,-113,4622650429730784,-63,7709771650867968,-117,6452684209350342,-58,-7943667299298761,-116,-6458498651510210,-58,-7182617656949392,-115,-5614983091547878,-60,-7057542491038203,-113,-7862244424397180,-58,8875018203248039,-56,7979341619164746,-55
5046920413657926,-54,5189934624158538,-107,5714876112937828,-55,-7086511506558890,-109,5126343353067353,-62,5496109049477632,-117,4804893132489770,-57,-7071193248854549,-111,-5155042528411539,-58,-6035411265170139,-112,5295428770764965,-59,-8754843739625868,-112,-5014656286058115,-59,5562939723275819,-55,8119449537369252,-57
-5781241946767278,-55,6207471301645541,-109,4978817136612356,-56,8453927976090004,-111,6572981244317289,-62,-7321687058147968,-116,5440778977556486,-57,-7616452116759866,-113,4768892494409259,-59,4573973930956679,-113,8761050483925988,-60,-8130918105777019,-113,4574708868186126,-58,4774711449163102,-56,-8629906696331447,-55
-7547371008332898,-56,-6771472309003228,-110,8091976042390524,-56,-7943416370225266,-110,5043724876354042,-60,7871408098030080,-115,4766016940140621,-56,-8275410462340840,-111,-5107738853450358,-60,-7256741278495562,-114,-6011479325884968,-58,5607996914009762,-111,-7288414039247557,-58,7955437469734413,-56,8251990887026103,-55
7600634873086192,-59,-6569312088305237,-108,5347518660744872,-56,6020160781696468,-110,5642332090351762,-61,-7427266119922688,-118,7128927647214381,-57,4896264626216805,-111,5652598535114989,-63,7815106038526602,-118,-7637178724110657,-59,-8397788404850215,-113,-7283891315665971,-59,5181178510508366,-56,6331326000157796,-55
7046349028149536,-56,7913397581934788,-109,8625359141874517,-55,5338112566831988,-109,7079518517421034,-59,-5091170671901104,-113,7985401299498967,-56,-7608712488091392,-111,6045515452985531,-60,5517235796363028,-113,-7605304276871338,-57,-6325013614684941,-112,-6849614845248147,-57,8514662657479027,-55,7245835591054232,-55
-8109043259493380,-56,-8776648624113740,-109,8074932352018605,-59,5458849140047080,-113,7631742297977348,-66,7776893568453632,-121,5862619872493733,-59,6291504408306626,-113,7832016961933206,-61,-6487113825220646,-116,7075081181983476,-65,8443005935637116,-119,8274209535807173,-61,7505416671250483,-59,-4964911158761563,-54
-8854198423622966,-56,4685232053556352,-110,4584920671227273,-58,-7241827378535612,-112,5201873863250001,-62,-8760249183981096,-117,4840160864285507,-57,-7042367262203247,-115,5686644013348780,-63,-4837076409201764,-119,-8658681388383939,-63,-8463529499447890,-119,-5944074750070318,-64,4577095855221304,-58,5848628404611975,-58
5005390098364058,-56,-5061620305265898,-110,5201962093545724,-55,4969707206244952,-109,8149635970745484,-62,-6188026249658048,-117,6058275127546994,-57,7419693307342857,-111,-6082941510316104,-61,-5960848960240926,-115,-9004898176761381,-59,4683872930807561,-111,-5262816777170203,-58,5148804429533035,-55,4603324907940330,-55
6403529512783893,-56,-4651227485812120,-112,5091668225061801,-59,8068769374456640,-114,4518345464599331,-65,-6080291039203968,-120,6379470032957396,-59,-7471653715644580,-113,-8235489071127125,-62,-6295850689076846,-116,-4585393422048983,-64,6121324088742973,-120,-4690918713319686,-61,4843330400480502,-59,8723757424121193,-55
-8749061793467839,-56,-6737706426873078,-109,5482203376804394,-58,7329216210596013,-112,6560367700611000,-66,-5626411485167616,-126,5435556046246339,-59,7032738939069502,-113,-7945093567402570,-61,6388093547496252,-116,5094153503292585,-63,-7896534990821421,-117,-6671555191579424,-61,5238069130029221,-58,5736085708095872,-55
7406223068141578,-54,-4707216035821890,-108,4928919705726578,-54,5141781419298688,-108,5701020225865723,-58,-5085048350959200,-113,5067061531582238,-55,-4529191353863718,-108,8679653871034279,-58,-5381730990472220,-112,-6366378182545897,-57,-7524052863474700,-111,-8106204988115032,-59,4822252726243843,-54,7570549250806248,-57
4901599455096730,-57,-7613620617541652,-113,6183497886983912,-55,-5691177715996186,-109,7464186968752800,-61,-5721572749967360,-119,8199476770026100,-57,-6439163564358094,-113,-5806745801808923,-63,-8385784901209012,-117,-6763843785828420,-58,6885947203722291,-112,-6945304592134948,-58,6170889694614723,-55,5068778202340956,-55
6036539306712712,-55,-4715646109989863,-109,8818526863238269,-58,-6321407657412338,-112,6470550897556235,-67,6442207458947072,-121,7634234815764588,-60,8381354502214863,-114,6790793831155655,-60,5626424875030040,-114,8570985144107107,-65,5050281165410493,-120,7058637116909002,-60,8446051588351360,-58,-7527606280145890,-55
-4915370393592876,-56,-7724184141026732,-111,5132199093377870,-55,-5489651699524338,-109,7799540893416659,-60,-4677954320539136,-117,5926719958058775,-56,4695425540321885,-110,6926725616771442,-61,-5044440043413916,-116,8733867982002845,-58,5537386608499467,-111,4799854342049638,-57,5057709945817649,-55,-8547988104443494,-55
-5610382646080304,-54,-4835340273784292,-110,5937147568750584,-55,-5915373273671020,-109,4888048948896661,-60,7937076971233280,-119,4691888257921297,-56,7651419486842885,-110,-7720448921430005,-60,7397994265077454,-114,-4869407390612251,-58,-4531217767504795,-110,-6799519620969753,-58,5920000135249247,-55,5172688062786417,-55
8518160411136175,-54,8253567861761368,-109,5861836207062194,-54,8112150949939630,-110,7725521051528249,-58,7264270222320128,-112,5898529793847408,-55,5622910241137676,-111,-5381970490217239,-58,-4741496888504384,-112,7464781192219560,-57,-7411239720254105,-111,4773795947110940,-57,5831047130181920,-54,-7374066842049643,-56
-6250732191725589,-55,7461770911644310,-108,8243264645150532,-56,8263699679063680,-115,5276801380881413,-61,8519668673556272,-115,6894142547503011,-57,-7201161702824032,-113,5451270106897614,-59,8934356213340279,-113,7857157328835431,-59,-5279298867131032,-113,6654213717866523,-58,8018566120246283,-56,-7474631741094099,-55
6161271648915678,-55,8464994516623422,-109,5192017633725797,-55,6961055547295768,-111,6871874426406510,-60,8689649357362240,-114,5563108043719913,-56,6631215178468678,-110,-7219780559080640,-59,-8266008252882816,-116,-7347378353690818,-58,-5209745634009926,-111,-5478634316615569,-57,4981529399590115,-55,4953012114881677,-54
-7959454345181644,-54,-5152285715899126,-107,4586899602575842,-54,6233537557325296,-110,5568052339204960,-61,9001055569372160,-115,7081846996373598,-57,7173860101085122,-111,8529589560596111,-60,6398170688339824,-115,6887661465502175,-59,-7281598916995777,-113,5576228122900115,-58,4581794833978490,-54,-5481061419465500,-56
-7964260039160073,-54,7477768693373844,-109,8876963651854499,-55,8177563112311352,-110,5074823237443407,-60,8761929318961600,-115,4780687402573113,-56,4900358194354123,-109,6425169300164992,-69,7805858091036519,-123,8630966887207342,-59,-5037193431623868,-112,8637241466602034,-59,8876963629618479,-55,-8763960082186286,-57
-8435676011758926,-54,-7822618543717020,-109,8100691788105078,-55,6856756630497173,-109,5637493472595180,-59,-8865389213442048,-115,7125870262990094,-56,-4697727502560560,-114,-4751023465663432,-57,5670857031931348,-111,7150745014763151,-62,6388679252977589,-118,-4527562683952083,-57,7909274572770322,-55,5156055572161328,-55
-5419009898849222,-56,-4953978995793098,-109,8335033690773861,-60,-8970514383355248,-116,5072636069761859,-68,-7064181096350976,-122,4779657091629654,-60,8179683872025508,-116,-6178996110332901,-62,7030289185505928,-115,-5386452147889056,-65,4883267152823458,-121,-6852302628819032,-62,7950408787389402,-60,7763129768805880,-55
-4671448068041553,-53,-8215776448981904,-109,5051056368724899,-54,-5044335355436156,-108,8874540192743762,-60,5816476853815808,-115,6321975633069563,-56,-6911199083892817,-110,-6028044568555731,-60,-6615252109601471,-113,5377050766208794,-59,-8426876598067312,-113,4726056963861855,-60,5049173129727448,-54,-8430793650574981,-59
-7298349428053760,-62,4854652004707464,-109,4907162582993932,-65,5250562086923128,-119,6101741636774961,-79,6129385192030208,-137,7413474402962589,-66,-7061056979177369,-120,5399167434578699,-70,-6319344784942914,-125,-5230937297215638,-72,7716697928311451,-131,8182866220549579,-71,4576810597705194,-65,-8051972541788690,-58
7832674706045796,-55,7491587219607706,-109,4911432267171341,-56,7059756027073112,-110,6373073070098778,-63,5725573729837056,-122,7576512324770785,-58,-7040464928413011,-112,-5144752799078729,-59,-6589270201694894,-114,8387514067435619,-61,-4612390240364753,-113,-6095748564439649,-60,4785489680953011,-56,5736677496687763,-56
-7129535321574648,-58,4872260231560412,-113,6197846871618389,-63,6471414601175240,-117,7395834959307295,-76,-4765367837138944,-130,5771297910074477,-64,-4674864338867483,-117,-4849020380208755,-65,-7492926567356224,-124,8171344341186431,-72,8981089800764663,-125,-4785181752543236,-65,5925424410942523,-63,7273923777630603,-55
-7165364036204742,-57,-7346603966216376,-112,6230675037754108,-61,-6800816449371326,-115,8699988881384875,-69,-5796493762538496,-123,8852261483297066,-61,-5727865399407161,-114,5994167456951095,-63,-4721779732948420,-117,7653743784052804,-68,7106713647174926,-121,6233346950202745,-63,5805364197161422,-61,-4835613761481212,-54
-6881517513162260,-57,-4694815631010368,-109,5594645275900021,-59,5616023008472478,-113,5103127603892503,-69,-6250469707251712,-125,6779740935362408,-61,-6549006825996135,-116,5647305783172326,-62,-4538264738359032,-115,8888927228915928,-65,-5986177223476734,-118,6758421686786816,-62,5185186959299426,-59,-5870034316822045,-55
5312538071052326,-55,5346989512234210,-108,6560208004843769,-56,7621689147752036,-110,4828881296060291,-61,5077834344383584,-115,6595050872518495,-57,6142088314592362,-110,-5242981699558414,-60,-5564217346454389,-114,6895003613049840,-59,-8061040951347064,-114,8547025526541265,-60,6489271057141744,-56,-5931695661578924,-56
5147364169678862,-56,6998865277989120,-112,8858522577774801,-56,-5547524564542976,-110,6512616843290412,-61,9000807790380224,-115,7659010221777944,-57,5193055105107968,-111,-6652415923295833,-60,7915471802412176,-115,-5097393321733303,-58,-7426287646244890,-115,-6760497302557261,-58,8347106553600528,-56,7295120276020193,-55
