nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-6257707488488728,-57,5461599593190288,-109,5305909793421310,-61,-7472984905780728,-115,8975256841485417,-63,-8835649522138032,-119,8991213863196473,-58,-7637895550161873,-112,-5103534453929354,-64,4589216543461965,-119,-5313937809752039,-63,7554337352412699,-117,-7865705036716716,-63,5134061072061969,-61,6899798380882225,-54
-5231396201023084,-56,6114090804223336,-109,4773211665647444,-58,-5938029338484046,-112,8009291200076317,-63,4853931794528512,-120,8493602399943795,-58,-6278455939798243,-112,5089768640506957,-60,8806417193024178,-114,8610651271400435,-62,-6454523129185926,-116,7242431458357066,-60,5352694338658040,-59,-6093568874566181,-53
4664088886269588,-53,-8993599723782652,-107,8574228056425462,-53,-6254231497914376,-109,4627121166988810,-54,5732638282891078,-108,4564942624332637,-53,-8954557025646405,-108,5369392830214631,-55,8664390465448567,-110,6715469130724198,-54,4562524008396552,-108,4700082772915757,-53,7288321843152421,-53,-5808550028454395,-53
6639971068338944,-58,6516564043082368,-113,5613368020696391,-53,-5947823296334832,-109,5111845446544236,-56,-7483261777134720,-110,4798093918237969,-54,4840159156658375,-112,-8886197990473286,-60,-6935178352941668,-113,6271370063440208,-55,-6372263838633671,-108,5993676376237917,-55,7703471043233994,-54,-7008040542532486,-54
-4511354479457056,-57,8855731923677504,-109,4693636589564294,-54,6955640394742272,-110,5397017640492909,-59,-8339813312356032,-114,6972231584598414,-56,5049944900444022,-110,8873040130225145,-60,-5188347878698190,-115,-5198704603136067,-57,-8473839969891867,-111,-8179149173715849,-58,5042984210501594,-55,7304328475636966,-55
-7536464896551016,-54,-6194194795721448,-110,8912883728496260,-53,-6482290242474366,-107,7706465280176972,-54,-8824547819193996,-111,5891250645164291,-53,5708369809527896,-109,8602443379787419,-57,6424937858062240,-114,5189672173942904,-53,-4781389216625022,-108,5727324885179618,-53,8566106556611316,-53,-6022240804094884,-53
-7833804488636281,-53,-4724665677715560,-108,9006984136008398,-53,-8365116223843218,-109,8008203742156536,-54,-5228159471449112,-108,6005476116769027,-53,-4624641476763626,-106,-6897524613905657,-55,-7317960353347016,-110,8831757855984313,-55,8355798199978410,-110,7736932968314624,-57,8030772027035360,-53,-8677633561453562,-57
7076353015575154,-53,8929280219533516,-107,8530439006009315,-53,6318135850448068,-107,4950912996805493,-54,8102617878770112,-109,4721962508063460,-53,6476619499920001,-107,-4680204805873565,-54,-7976212688424936,-111,5688891187727447,-55,8473228390560111,-111,-7343036848039366,-56,6376525442508696,-53,5186225368464498,-55
6394420561945980,-53,-8345677536468416,-109,6830254676348998,-53,5186319020261488,-108,5198190757268242,-55,-8208535877869268,-110,6842597453808606,-54,5823372044077988,-109,8883837528519358,-55,6686456842297575,-109,-7437311257675814,-62,-6472521320113356,-115,8825733534318766,-55,4539710474395075,-53,-8755529781164233,-54
-6429351560088764,-56,6026667993411360,-110,4636154087396557,-57,-6197734932391368,-113,7037295532708909,-59,4836157996545632,-114,7961552805678538,-56,-7310664245460483,-112,-8490674811681517,-61,-5512213858746196,-117,4606511339657314,-58,-8673480689752814,-112,7090353976394248,-59,8325350812551689,-58,-7671055849771927,-54
7243230254751784,-57,-4595380858373952,-111,7386603084594138,-55,6733757745222429,-111,5126543206501781,-60,6003854396886848,-114,4804986792333582,-56,8748584912600210,-110,6414459036143834,-59,-6912611627709324,-117,6057946240685770,-58,-7035472528613654,-112,4632587879378843,-57,7340591277995306,-56,-5684370715441698,-54
8797059239347921,-54,5072549638742493,-107,8347972214017864,-53,5582710564293530,-107,4860920431869017,-54,4810197264874576,-108,4678850226887257,-53,5331790893847389,-110,-5164590305991547,-55,8372229875681093,-109,-6795245508539487,-54,6277880401658989,-111,-4688770330767630,-53,6897607523315494,-53,6122802505968295,-53
