nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-7.8209510311061622186291648659189408e-01,1.0000000000000000000000000000000000e+00,2.1909278478725662895297388530429758e-09,4.6807348225172575883032829837345174e-05,-1.2081765359557268033379923432006715e-04,2.9168423562995918781138491463849715e-05,-9.1649230032576761552660742856217438e-05,9.9999997613608617799065160241998835e-01,9.1649232219686141096573359333269111e-05
5.4808416211121721518916937027677689e-01,1.0000000000000000000000000000000000e+00,2.0828785039248076686041347337195497e-08,1.4432181068448412688810799759031558e-04,3.8774895175219486489281658652107757e-05,1.2071410871575901945601071912477677e-04,1.5948900389097850594529237777688452e-04,9.9999999499496900873201134653632850e-01,-1.5948900468922591718135366067888580e-04
-2.3147236597180110457165788092485075e-02,1.0000000000000000000000000000000000e+00,1.1073933963737085373871499528209475e-08,1.0523276088622347541050643905725254e-04,2.8161850864106265800560341719703817e-06,1.0520456475942786290326619787597967e-04,1.0802074984583848948332223204795005e-04,9.9999998519787394768014065260107569e-01,-1.0802075144477526863519832226098484e-04
-6.4694925808907953272041336713002282e-02,1.0000000000000000000000000000000000e+00,3.6750156582819681524393071597591588e-09,6.0621907412106130071162597355516822e-05,9.7393227235816469243127584641331360e-06,-6.0494909220694202750228112331457699e-05,-5.0755586497112555825915353867324563e-05,9.9999997733701627261497008741686036e-01,5.0755587647385612752480129245684174e-05
-4.3470727864961120038725739996177296e-01,1.0000000000000000000000000000000002e+00,2.4965288818828775302562112154658618e-08,1.5800407848795794708684403078967158e-04,1.5019645677621396365981252289134691e-05,1.4229401857657583717112222204067623e-04,1.5731366425419723353710347432981091e-04,9.9999999880621652617575911307865395e-01,-1.5731366444199568635469004614184904e-04
-9.2044116637944441134344832377216824e-01,1.0000000000000000000000000000000000e+00,2.4059179953882385221172846772467328e-08,1.5511021872811083500323447009583855e-04,-4.7227238280835991703251598413704950e-05,6.0629657335144260932755391248383555e-05,1.3402419054308269229503792834678604e-05,9.9999999736735049655679256961062199e-01,-1.3402419089592141190656307538665440e-05
9.2459080261528761238303597229162750e-01,9.9999999999999999999999999999999981e-01,1.8962684423722730914500472387353520e-08,1.3770506317388163093271904901394658e-04,-8.0925753013158265411676667085319182e-05,5.2460359156813860087736876928346502e-05,-2.8465393856344405323939790156972680e-05,9.9999999233919563194545837243133144e-01,2.8465394074412220587590795589169749e-05
-9.1012121957603849469892416506137156e-01,9.9999999999999999999999999999999990e-01,5.1846475367224390965009744666476182e-10,2.2769821116386573616548477224843001e-05,-1.4481653401733712415120005350404642e-04,9.4344945232803728415953487665301398e-06,-1.3538203949405675130960470473751628e-04,9.9999997468150834634929027698032130e-01,1.3538204292172587507750341689284176e-04
9.9494140277611272051510178423728308e-01,1.0000000000000000000000000000000002e+00,1.3286349209309021921636079787943552e-08,1.1526642706924259444964639574464015e-04,1.1439886009871319561441091493719717e-04,-1.1579309695173182549420709124463529e-05,1.0281955040354001306499020581273365e-04,9.9999998677948423769364256194497490e-01,-1.0281955176286751781925464592004369e-04
4.7995715104781608894347793754443938e-01,9.9999999999999999999999999999999981e-01,6.9297600273082714040181212850341170e-10,2.6324437367792443293859063053027065e-05,7.6667902750750506462865612631875993e-05,2.3094216122456521425303892122756724e-05,9.9762118873207027888169504754632720e-05,9.9999997448343297203912201392541705e-01,-9.9762121418793885922395258706641746e-05
-9.8093565170850293309326458076528166e-01,1.0000000000000000000000000000000000e+00,2.1232084610123984448154163427518641e-09,4.6078286220435742729487590641403447e-05,1.4959262757564974257251399031192435e-04,-8.9545208149154511640854126676220004e-06,1.4063810676073429140842857764430236e-04,9.9999997674376785085203643162583827e-01,-1.4063811003144682731717100069159687e-04
1.4746832459677509241973930428390387e-01,1.0000000000000000000000000000000000e+00,2.6790834163959383531846981626603142e-09,5.1759862986641863339227330910945762e-05,2.2764013882424991673792055182702383e-05,5.1193960340062788798993099274305091e-05,7.3957974222487780472785154457007480e-05,9.9999997617130806191243227044851695e-01,-7.3957975984809606579291769257141905e-05
5.5506394039266094845623682176881946e-01,1.0000000000000000000000000000000002e+00,2.0035661802050958320674696559644079e-08,1.4154738359309563133679507394655449e-04,-4.3292421450688567175784653321026781e-05,-1.1774020071286806383214213620182140e-04,-1.6103262216355663100792678952284819e-04,9.9999999391672096258917442017131858e-01,1.6103262314316301171400770933058021e-04
-9.9713879440205749375803923112877622e-01,9.9999999999999999999999999999999990e-01,4.5876631596989912906688702713037999e-10,2.1418830873086867181498928333761217e-05,1.5904952684023577250351706981352757e-04,1.6190991759370245360514115262506960e-06,1.6066862601617279703956848133977825e-04,9.9999997455786528210311956437415693e-01,-1.6066863010392572908358914220591451e-04
-1.2383259002064768086115646602545737e-01,1.0000000000000000000000000000000002e+00,2.6347671777569596577995699585591192e-08,1.6231965924548263595641848603649331e-04,8.2695562551364023784716775593128628e-08,-1.6107030493531112341400738619646092e-04,-1.6098760937275975939022266942086778e-04,9.9999999999955404143404391339470505e-01,1.6098760937283155319363527602725656e-04
-4.8500849324740838421186363798482828e-02,1.0000000000000000000000000000000002e+00,2.0050996815371302325459334365016267e-08,1.4160154241875793326495387914871965e-04,3.5028468602803757418338192938232872e-06,-1.4143489704319469133505834555131713e-04,-1.3793205018291431559322452625749383e-04,9.9999999478392742722557294966470416e-01,1.3793205090237790321164406810564757e-04
-9.9997399277247562797365091890373522e-01,1.0000000000000000000000000000000002e+00,6.6119410191336619532911508895274452e-09,8.1313842727629481729854113934693576e-05,-1.3997899693930166127224857789021407e-04,-5.8632966397907468462745727184800358e-07,-1.4056532660328073595687603516206208e-04,9.9999998040486068512290878732164610e-01,1.4056532935767794756215816837499604e-04
-5.4760047741984284127698002641926114e-01,1.0000000000000000000000000000000002e+00,2.2416609729657232271328458977747011e-08,1.4972177440057685968530749062058431e-04,3.5894476094551423829541280822792505e-05,-1.2527818724403614895014480526727381e-04,-8.9383711149484725120603524444481301e-05,9.9999999570337339634583611223872964e-01,8.9383711533533158028931614053499869e-05
-9.7152308125697363195295365455198242e-01,9.9999999999999999999999999999999990e-01,7.6936948172207070233032910406773390e-09,8.7713709402924620716671786510609904e-05,1.3295942965187224137299899426909261e-04,2.0783315773489974092314788910081842e-05,1.5374274542536221546531378317917446e-04,9.9999998127024689554592598993211366e-01,-1.5374274830492593281680159808643510e-04
-9.0765592172524298252039271095703976e-01,9.9999999999999999999999999999999990e-01,1.4506231736404687510164758773867203e-08,1.2044181888532191836547111749653802e-04,9.7420053854500609796270915452039458e-05,-5.0551243036998730914657708261860084e-05,4.6868810817501878881613207190179375e-05,9.9999998847995299595001180144548791e-01,-4.6868811357432788743190865730689555e-05
6.5951446461355235710121121147949402e-01,1.0000000000000000000000000000000002e+00,8.3098413382518826354190426408051130e-10,2.8826795413732485563645466889545068e-05,-1.0520484047971906118513866292999741e-04,-2.1668867330640210668613194062401112e-05,-1.2687370781035927185375185699239853e-04,9.9999997455380764962841269426426949e-01,1.2687371103881212715282822048952909e-04
7.0050652363540166200049895651344419e-01,9.9999999999999999999999999999999990e-01,9.7706367806240522648958597584779702e-09,9.8846531454695223741074500963175774e-05,-8.9919498700885615849415592828980167e-05,-7.0541430439587889103845233705687824e-05,-1.6046092914047350495326082653466800e-04,9.9999998352280060400298054326436615e-01,1.6046093178442027323262949410408171e-04
