nx_1_significand,nx_1_exponent,nx_2_significand,nx_2_exponent,nNorm_1_significand,nNorm_1_exponent,nNorm_2_significand,nNorm_2_exponent,sSquare_1_significand,sSquare_1_exponent,sSquare_2_significand,sSquare_2_exponent,s_1_significand,s_1_exponent,s_2_significand,s_2_exponent,znxnz_1_significand,znxnz_1_exponent,znxnz_2_significand,znxnz_2_exponent,sny_1_significand,sny_1_exponent,sny_2_significand,sny_2_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
5917994655715903,-72,8538889597339298,-128,7669895177518973,-91,5280035503185775,-145,5522291617489766,-131,-6843360371277824,-185,7052686079892983,-92,-4873007847845217,-145,-6427397650554579,-111,6361035493117483,-166,-4569802078912268,-111,7140604238670608,-164,-5498599864733423,-110,7669895177509310,-91,6457322226381325,-72
7926065831104158,-72,-5693263705562524,-127,5869339013123991,-90,-5120779676342482,-144,6663238805917249,-130,-7466783464226816,-184,5478006918890259,-91,5266796342360316,-147,-8304238562302185,-111,4526280847021713,-165,7967875267350769,-111,5833209011894020,-164,-5381812719222642,-115,5869339013119495,-90,8259032133837122,-78
-5498541390619617,-72,-7764795730811456,-131,6935631026420865,-92,-6382746612300752,-146,5093516572612390,-134,6042915906256896,-189,4789484245555319,-93,5760005668734981,-147,4548785226643578,-111,6903623551729172,-165,8513564942506671,-116,5576393939893239,-175,4814834131096912,-111,6935631026409652,-92,-6252952360380664,-72
-5035030261003382,-72,-4681430765938366,-126,5555648459255704,-91,-6503111541080154,-145,6997026380424503,-132,5009374976147456,-188,5613537690225418,-92,4599692882614044,-147,4819223277979563,-111,-8335609724132799,-165,6193430701151367,-112,-4667142370847770,-165,7915938628555246,-111,5555648459248199,-91,-6416931978211123,-72
-8205878782060137,-72,6421542625173636,-128,7607533268992800,-91,-7649360840761560,-148,4655448933282652,-131,-6390361580634112,-185,6475535202772683,-92,-4625798073778623,-145,-8688195238166792,-111,5505586594677520,-166,6263837134256362,-114,-8310468960353838,-169,-7905215596384747,-111,7607533268983617,-91,4679825214739846,-72
-8587811321041074,-73,-5350257172767800,-127,5645680229318750,-90,8289959856587486,-144,7359484375804660,-130,-6447536185278464,-186,5757097453796735,-91,6935789364756360,-145,-8487624706441496,-112,-8404683640792354,-166,-5832401610714249,-110,-4954615877607886,-162,-7954307787324624,-110,5645680229314749,-90,6345208395080051,-72
-4684591698953304,-73,-5505626396748640,-131,4607831257108362,-91,-7079275310888260,-145,4736062419758828,-132,7265572836343808,-188,4618368645834725,-92,-7241392679346689,-146,-8458608183000846,-113,6136080866360626,-166,-6154381653972890,-112,-6812224408804334,-165,-5191842872736657,-111,4607831257101685,-91,5074400585087872,-72
5193080483120382,-73,6486011910375924,-126,8287118357064849,-90,6677458893510620,-144,7394737328078233,-129,6572330755031040,-183,8161242096058152,-91,-5246789628989234,-149,8292955510763799,-113,5971944070951790,-167,-5408952236234604,-109,4831091213530390,-166,-4890642516811867,-109,8287118357062238,-90,5315598225418422,-72
-8460008058026276,-73,-5232733157813473,-127,5794204897446812,-92,-6108031539244446,-146,5294904374068144,-135,5594315162124288,-189,6905958205204503,-94,5083004596254958,-147,-6310321081100158,-112,-5852534225626680,-168,-8783142801509124,-115,-8990960598530756,-173,-7408213931288799,-112,5794204897437696,-92,5758103154962152,-72
7765308759383296,-74,4881563144825739,-126,8305042920752455,-90,5325644071600878,-144,5757940212958278,-129,4818059952914432,-184,7201591129396405,-91,8678471069574757,-146,-5756079861181380,-113,7275222897487538,-166,4827801521081175,-109,6823958040314220,-164,8936093059514678,-110,8305042920750205,-90,-4845801009941444,-72
-7760126565932426,-74,5639889473996697,-126,4798703835181746,-94,-4906032812392160,-153,7384680875509054,-141,4503599627370496,-198,8155690778737581,-97,-5769805114556105,-152,5918684062045165,-114,-5870825690550053,-169,4637016660686580,-118,8951406532941326,-174,6208497603338076,-114,4798703835172215,-94,-5826695802309403,-72
