nx,nNorm,sSquare,s,znxnz,sny,znxnzsny,nxSquarenySquare,px
-9.9894466940130421415676221184811764e-01,9.9999999999999999999999999999999981e-01,1.0726047469783020813918073652185850e-12,1.0356663299433375329429685765904912e-06,-6.4548879417019522532521339186617795e-07,-4.7567958069606766394041811954997083e-08,-6.9305675223980199171925520382117501e-07,9.9999999999958246340332697210314103e-01,6.9305675224009136827688679347417836e-07
5.5579703286295592053039923061280964e-01,1.0000000000000000000000000000000000e+00,1.1282765809699925165972323492720011e-12,1.0622036438320066865488039108570830e-06,3.0143530929970192970620118031217148e-07,8.8302903506385902110800530067162580e-07,1.1844643443635609508142064809837973e-06,9.9999999999970585884182074777506264e-01,-1.1844643443639093505282797099226549e-06
-6.5768793464875723010550341337016723e-03,1.0000000000000000000000000000000000e+00,5.9782803185939568948083541903590756e-13,7.7319339874276971835261878719137680e-07,6.0227070750755150152648232950110465e-09,7.7317667618918511430735689553299044e-07,7.7919938326426062932262171882800152e-07,9.9999999999916142148259988397342443e-01,-7.7919938326491404918619909523064264e-07
-6.9887385482322713635914991243423286e-02,9.9999999999999999999999999999999990e-01,2.1750489360629215327065355055354164e-13,4.6637419912157678587175942347813500e-07,8.1472380826212882700684871254582542e-08,-4.6523386168478564651636251954996300e-07,-3.8376148085857276381567764829538049e-07,9.9999999999864098819863919121709138e-01,3.8376148085909430019707285758035612e-07
-4.3311241777161813592985810064750574e-01,1.0000000000000000000000000000000004e+00,1.4523081236762279712027336141318185e-12,1.2051174729777292425840703197139435e-06,1.1406865053035490724853103270397001e-07,1.0862204747756649874392950955015920e-06,1.2002891253060198946878261282055621e-06,9.9999999999993063644612556728807205e-01,-1.2002891253061031510072341938076394e-06
-9.2060945602265516595515856439848758e-01,1.0000000000000000000000000000000000e+00,1.5212448324621899075912725428710819e-12,1.2333875435004968087069351434763337e-06,-3.7541700163917181315487524762458692e-07,4.8161885206221204036014158815200278e-07,1.0620185042304022720526634052741586e-07,9.9999999999983370583503266391311431e-01,-1.0620185042305788795330042886762492e-07
9.2706398588472158417891706429684519e-01,1.0000000000000000000000000000000000e+00,1.1878266849944297076062302965746582e-12,1.0898746189330356671980385271762376e-06,-6.4106590976492651125335821839949818e-07,4.0859741930542783075697802926518858e-07,-2.3246849045949868049638018913430960e-07,9.9999999999952182601424261369260527e-01,2.3246849045960984088102626370504373e-07
9.9720795572326237497207753777473551e-01,9.9999999999999999999999999999999990e-01,8.3464322479833657492740753158262305e-13,9.1358810456262869126131730331298203e-07,8.8947834134917395892906653153854292e-07,-6.8221808877550170094942081103373897e-08,8.2125653247162378883412445043516905e-07,9.9999999999920439173543942114094889e-01,-8.2125653247227718731868375756626003e-07
-5.1559459060918143596784016256439238e-02,1.0000000000000000000000000000000002e+00,6.5579610093128626437837120906245301e-13,8.0981238625454863091806069483864005e-07,-4.8485230103116752233664424481919711e-08,8.0873527629406058029999522486442624e-07,7.6025004619094382806633080038250652e-07,9.9999999999911569472117186208956789e-01,-7.6025004619161612119540738220248855e-07
1.5013872134565296536162841678653952e-01,9.9999999999999999999999999999999981e-01,1.5684825189363197150650566337477526e-13,3.9604071999433589998835672925985153e-07,1.8218918174832761751478925308318019e-07,3.9155157482418280941829738498139408e-07,5.7374075657251042693308663806457427e-07,9.9999999999852748494095441593898035e-01,-5.7374075657335526883712911036975105e-07
5.5589282366490024504634828231774910e-01,1.0000000000000000000000000000000002e+00,1.1539165720092887280369808951974371e-12,1.0742050884301790198986317341090874e-06,-3.3136090341579703827972571824404142e-07,-8.9293724820065254050267201495815755e-07,-1.2242981516164495787823977332021990e-06,9.9999999999964467939233442037620142e-01,1.2242981516168845971455940905718761e-06
-1.2381777037556681810187118958035947e-01,1.0000000000000000000000000000000002e+00,1.5795981134801605631521963916389683e-12,1.2568206369566663680389259028295342e-06,6.4582518057559510376393306063638990e-10,-1.2471493684102847360625358342196423e-06,-1.2465035432297091409587719011590059e-06,9.9999999999999997279404411164147510e-01,1.2465035432297091748710923129490774e-06
