nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-8014955096987965,-53,4503599627370497,-52,5120663767305374,-53,6791379747050828,-53,-4776802944990782,-55,-5233756343286301,-54,-7622157815781692,-54,8469354434306071,-53,8106201568296062,-54
-8911963146364127,-54,4503599627370496,-52,8918500833241784,-57,8962740320827236,-55,8019380700026928,-55,7025141901729010,-56,5765975825445716,-54,7175734418133686,-54,-7237627555803119,-53
8918540874971508,-54,9007199254740991,-53,5940353892411421,-54,5172327868214944,-53,5841778448641137,-55,7247225087835211,-54,5084057156077890,-53,6628492031612095,-53,-6908526948345471,-53
7636140307012192,-58,4503599627370497,-52,8697976842824636,-56,6258770268049646,-54,-6685382330341659,-59,4508176395123826,-54,8598516394601298,-55,4679513249758286,-53,-8275278466764841,-54
-7375193227452010,-57,4503599627370496,-52,4682447081406056,-57,6494284707495103,-55,6766530094486483,-58,-7793889388541278,-56,-6102256864919657,-56,6533606828330159,-54,8412542249652026,-55
-7424813497448553,-54,4503599627370497,-52,5114352249734824,-53,6787193070209100,-53,4882617978295384,-56,5894614556524650,-53,6504941803811573,-53,8324021593928787,-53,-7038822077318890,-53
-7414071223006080,-53,9007199254740991,-53,4668253653109377,-53,6484434503118116,-53,-7047059906072257,-55,4510243522905394,-54,7893708558954124,-57,7192119537037890,-53,-4942924369040531,-56
6460236090561559,-53,9007199254740991,-53,5392217635178074,-54,4927919371549071,-53,-8915717590565354,-55,5378902431570857,-55,-7073630317988994,-56,5304179487319493,-53,6005980555599741,-55
6318525617264492,-53,9007199254740990,-53,6725073468817282,-55,7782934969303639,-54,4977356066565237,-54,5474247541040434,-64,4982702011429534,-54,8864865342542083,-54,-5062704069351913,-53
-8872405704395226,-54,9007199254740991,-53,8643978592835489,-54,6239312363529530,-53,-8696051265816414,-56,4770263162335248,-53,7366513508216392,-54,7449939034509301,-53,-8906335296690984,-54
6499606638276765,-56,9007199254740991,-53,5289199868986128,-58,4880618665605212,-55,5910112495562748,-57,5488077228360432,-56,8443133476141806,-56,5840998898492818,-54,-6509929797590485,-54
8418828801957798,-54,4503599627370496,-52,6099604366271003,-54,5241199857956720,-53,-5542612076069014,-55,-7281974419580270,-54,-5026640228807388,-53,6313992752924244,-53,7170732038264698,-53
-5143421687348503,-53,4503599627370497,-52,8947176848840152,-57,8977137887150273,-55,4764195536833439,-54,-6505462774038672,-56,6275659686647542,-55,8239192913127393,-54,-6860637667861562,-54
-8918627107692723,-56,4503599627370496,-52,6045305233775076,-53,7379110298426273,-53,7966005219191785,-64,-7322233413783670,-53,-7318343762797737,-53,9006865779070162,-53,7318614721603555,-53
8497213464550744,-60,4503599627370496,-52,7942443590860456,-55,8458083233949679,-54,-6345737300312005,-61,-7186686747857170,-54,-7236262820515858,-54,6503332604559539,-53,5011158512664971,-53
-5914917107286443,-53,9007199254740991,-53,6442047478193236,-56,5386316238608173,-54,-5237319497676151,-54,-7303795513493585,-58,-5693806717269500,-54,7897894608775864,-54,6493534563431971,-53
-7418540333448953,-53,9007199254740990,-53,6502053630016808,-53,7652796391553440,-53,4692916685534636,-58,-8661291226679381,-54,-8367983933833466,-54,8994478694540951,-53,8379818465549897,-54
-5414590612483144,-53,4503599627370496,-52,7871330477791784,-57,8420133135134278,-55,4836839715155105,-54,7131644195401369,-58,5282567477367691,-54,6711778301819975,-54,-7089199867099767,-53
-5754802090449972,-53,4503599627370496,-52,5042014526760978,-55,6739022888211223,-54,4911910882329029,-54,-8895513156790192,-56,5376065186262962,-55,4657693183613589,-53,-5198205252066259,-54
-5902496972686506,-54,4503599627370496,-52,4583470733963803,-53,6425280863828905,-53,5362342919313649,-56,-5528912630981502,-53,-4858619766067296,-53,7636362322948367,-53,5730811934430930,-53
8622569106550850,-54,4503599627370496,-52,8660091380538600,-57,8831940252785690,-55,-7807280395622745,-55,-7386211925408909,-56,-5750193179163600,-54,7277040417419662,-54,7117335172963660,-53
5002179535412748,-53,9007199254740991,-53,5768574256394234,-55,7208238185792158,-54,-8388295717718324,-55,7167442770152366,-55,-4883411790263832,-57,5004361432668167,-53,8789505640164342,-57
-7968565729295747,-54,9007199254740991,-53,6360693014339688,-56,5352197183325586,-54,7026335520585141,-55,5161968293574904,-55,6094151907080022,-54,7714002358529244,-54,-7115792550288404,-53
-5792947793187051,-53,4503599627370496,-52,7856807308384784,-58,5948437985417979,-55,-5568228878793482,-54,7572093746534835,-58,-5094973019635055,-54,7907533159794890,-54,5803508661678845,-53
-5441636396247169,-54,4503599627370496,-52,4622463489005109,-54,4562644501450571,-53,-8079846714559834,-56,-6566755253800464,-54,-8586716932440422,-54,5486307290639802,-53,7048663723822306,-53
