nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-8996024232368035,-53,4503599627370497,-52,7021481254977536,-92,5623338898155237,-72,-8603446572581659,-73,8960944813605930,-77,-8043387521731288,-73,9007199254733502,-53,8043387521737977,-73
4990437777699156,-53,9007199254740991,-53,8544304859447296,-92,6203235299514823,-72,6953365515651054,-74,5164090806138925,-72,6902432185051688,-72,9007199254737015,-53,-6902432185054736,-72
-5991214235149627,-59,4503599627370496,-52,4529987906437120,-92,4516774495967567,-72,7077064520463579,-79,4516530546229129,-72,4571820112795251,-72,9007199254729562,-53,-4571820112801053,-72
-4951591983212240,-56,4503599627370497,-52,6456332278300672,-94,5392284825816883,-73,7397493254271016,-76,-5379538453020335,-73,-8909703592472916,-74,9007199254722710,-53,8909703592491000,-74
-7808817021474340,-54,4503599627370496,-52,5407947941216256,-91,6979288263555328,-72,5290130332190544,-75,6289489664480323,-72,6950755956004141,-72,9007199254740052,-53,-6950755956004866,-72
-8291778087164675,-53,9007199254740990,-53,5559955423756288,-91,7076696005146100,-72,-8616360967976020,-74,5527921576940848,-73,4878964371811352,-75,9007199254738779,-53,-4878964371812551,-75
8345337866534172,-53,4503599627370498,-52,8699885754777600,-92,6259457024645371,-72,-7362522936536583,-73,4710227693509230,-73,-5304590486054706,-74,9007199254734619,-53,5304590486058459,-74
8977986255876973,-53,9007199254740991,-53,6107237336481792,-92,5244478219312440,-72,5130116472426724,-72,-6752708931509952,-76,4708072164207352,-72,9007199254730292,-53,-4708072164212945,-72
6625195166229051,-57,4503599627370496,-52,7573436092121088,-93,8259264369469087,-73,8636752416900202,-77,8250532266289923,-73,8790329292346186,-73,9007199254727070,-53,-8790329292359773,-73
5387885302126755,-55,4503599627370497,-52,4666327348281344,-94,4584241497446291,-73,8350503058116802,-75,4532692129591571,-73,6620317894120772,-73,9007199254721316,-53,-6620317894135234,-73
5005337755889024,-53,9007199254740991,-53,8614123847811072,-92,6228528313424067,-72,-7669988205486194,-74,-5178274708674517,-72,-7095771760046066,-72,9007199254736182,-53,7095771760049855,-72
-8922249741867483,-56,4503599627370496,-52,5841705278373888,-91,7253785455180337,-72,7619135856498632,-83,-7197964377857464,-72,-7194244096677533,-72,4503599627370496,-52,7194244096677533,-72
-5331043880932967,-57,9007199254740989,-53,7381021557260288,-92,5765515235856292,-72,7607114825505537,-78,-5761569193130906,-72,-5642708023982382,-72,9007199254736819,-53,5642708023984996,-72
-9002402832743731,-53,4503599627370497,-52,6017627138818048,-93,7362198495019751,-73,-6152685243870537,-72,-7687382344878129,-78,-6272800593009258,-72,9007199254725687,-53,6272800593019917,-72
-6992295541678069,-53,9007199254740990,-53,6124829522526208,-91,7427486782937664,-72,4782611514692468,-75,-4682010688495008,-72,-8168368498316899,-73,9007199254740750,-53,8168368498317118,-73
-8776026821554052,-53,4503599627370496,-52,6545392720150528,-93,7678258684814347,-73,6047093833138010,-72,6913631977248237,-75,6911297830294040,-72,9007199254725435,-53,-6911297830305977,-72
-8142976792768351,-53,9007199254740990,-53,5923069138829312,-92,5164797379038347,-72,8712614601091351,-73,-8830200718683045,-74,8595028483499657,-74,9007199254731612,-53,-8595028483508608,-74
8499072175797973,-55,9007199254740991,-53,8699335998963712,-93,8851929322278134,-73,-5374278599843847,-74,-8602111510804952,-73,-5644625405363438,-72,9007199254727889,-53,5644625405371649,-72
6401466121918826,-53,4503599627370497,-52,7941772487426048,-93,8457725889981681,-73,-8272333946178027,-73,-5949922585576949,-73,-7111128265877488,-72,9007199254727313,-53,7111128265888287,-72
6950516195726256,-53,4503599627370496,-52,6268865545764864,-92,5313422676198684,-72,-7016935284819140,-73,6759018483453075,-73,-8253337643714080,-78,9007199254732643,-53,8253337643721730,-78
