nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
6633738654653126,-53,4503599627370496,-52,6792346321585768,-56,5530823479633483,-54,6007683023994142,-54,-4811063466939837,-57,5406300090626662,-54,4992192550211464,-53,-4877177878999873,-53
8510304884729072,-54,4503599627370496,-52,6246474181791552,-54,5303924848401970,-53,-7856623203076040,-56,8755927610651630,-54,6791771809882620,-54,8146968995517746,-53,-7508908161796424,-54
6799668877502242,-53,4503599627370496,-52,6690245738814316,-56,5489097213234723,-54,6136028742516192,-54,-6644786407627389,-57,5305430441562768,-54,5339409939037841,-53,-8949878294592144,-54
-7077749539342055,-53,4503599627370497,-52,6116322670358232,-56,5248377701642961,-54,6203027446820970,-54,-4996452842025461,-56,4953914236314605,-54,6071814246752414,-53,-7348856668540172,-54
-4646157458387740,-55,4503599627370496,-52,4510925663576048,-54,4507261157019537,-53,6129605212344566,-57,7994980574832931,-54,8761181226376002,-54,7234777035293166,-53,-5453775881958951,-53
-5800213588421392,-53,4503599627370496,-52,5200428181156144,-57,6844069903036034,-55,-5522014066286634,-54,-5787942245020766,-56,-6968999627541826,-54,5345522887448140,-53,5871377746682033,-53
7494683975689249,-55,4503599627370496,-52,6811865477348560,-56,5538764738232246,-54,-6783980864110891,-56,-7953720284314614,-55,-5672855358185030,-54,5033250248884386,-53,5075898875266845,-53
-8372755173022416,-53,4503599627370496,-52,6455751361479144,-54,5392042231469821,-53,6121802392057465,-55,6052435168494577,-55,6087118780276021,-54,8492289175637049,-53,-6456196981435122,-54
7620418625474213,-53,4503599627370496,-52,5218133407294688,-54,4847719429655752,-53,5579372061287901,-55,4684246625224266,-54,7473932655868216,-54,8549643604637250,-53,-7873918932878936,-54
-6843354584029168,-53,9007199254740990,-53,8802955256718436,-56,6296426447908075,-54,-5998388112149854,-54,-8887329376191465,-58,-6553846198161821,-54,5269438927248672,-53,5601336252946427,-53
-6655278077350590,-57,4503599627370497,-52,7795228645432350,-54,5925081334702246,-53,8315286131573449,-61,5886162409489134,-53,5918643995940593,-53,8908469117522295,-53,-5984238715544937,-53
6049114629494079,-53,4503599627370496,-52,5240116311197472,-58,4857919911493704,-55,-5909409938865738,-54,6359811369719286,-57,-5114433517650827,-54,5027349544314798,-53,4581611181253713,-53
-4770109913629221,-54,4503599627370496,-52,8254467094499234,-55,8622623142748240,-54,7072240603614245,-56,6952820037460871,-54,8720880188364432,-54,6487978667657727,-53,-6053557629966728,-53
-7667792160645460,-53,9007199254740991,-53,7080867697106482,-54,5647069427778318,-53,-8731760330211854,-56,-5531127300434748,-54,-7714067382987712,-54,8687844256124249,-53,7997627482109759,-54
-8824001760168789,-55,9007199254740991,-53,4904430138728140,-55,6646441114647851,-54,-7230507761633976,-56,-5337321270010714,-54,-7144948210419208,-54,6348704823722079,-53,5068433167311806,-53
-7630350256463024,-54,9007199254740990,-53,6069173422761344,-59,7393663119887855,-56,-7501992581696922,-55,4567134102417921,-56,-5218425530487962,-55,5052821366867071,-53,4651203272032187,-54
