nx_significand,nx_exponent,nNorm_significand,nNorm_exponent,sSquare_significand,sSquare_exponent,s_significand,s_exponent,znxnz_significand,znxnz_exponent,sny_significand,sny_exponent,znxnzsny_significand,znxnzsny_exponent,nxSquarenySquare_significand,nxSquarenySquare_exponent,px_significand,px_exponent
-7951596497828416,-75,9007199254740991,-53,4817556771980139,-96,4657933756841757,-74,-7061026820214753,-101,-5046491264482634,-97,-5487805440746056,-97,4831429020606885,-96,5115438606799865,-53
-5527922394958896,-77,4503599627370496,-52,6424603317533093,-102,5379018600715682,-77,7004292380709619,-104,-6126435584677432,-105,7882149176741806,-105,6876505511791702,-102,-5162221426912504,-55
5004040211457180,-78,9007199254740991,-53,6469178799796099,-104,5397646823584776,-78,5589525184365132,-104,6498625064609006,-104,6044075124487069,-103,6044147590737341,-103,-9007091263010869,-53
8717922181629849,-81,9007199254740991,-53,8558467216336596,-106,6208374164493962,-79,-4681837647210859,-106,7779493878466218,-105,5438575054860788,-105,7335106511010880,-104,-6678339177142233,-54
-6771367726956195,-78,4503599627370497,-52,7266498516400654,-101,8090166872290120,-77,5279384308560032,-104,6785354374507873,-101,7445277413077877,-101,7608701304371691,-101,-8813737651638928,-53
5995619298230069,-81,4503599627370496,-52,8949822063590648,-105,8978464825416323,-79,6661787945234498,-107,6659365349660490,-104,7492088842814802,-104,5017445875649992,-103,-6724809665506620,-53
7290679724482159,-79,4503599627370496,-52,5722177666522563,-105,7179191766027536,-79,6137482393653714,-106,5694384436158539,-106,5915933414906126,-105,7317962219250160,-105,-7281534045867181,-53
-7781381441999886,-76,4503599627370496,-52,6037070012499536,-98,5214263731218676,-75,-5678198305439459,-102,8094605321132933,-99,7384830532953001,-99,6074540341151307,-98,-5475034845204098,-53
8004099820081368,-79,4503599627370496,-52,7950933439138003,-104,5983963642415412,-78,-6572736902822877,-105,-7686807139378450,-104,-5486587795394944,-103,5493905487832349,-103,8995201976299527,-53
-7891766107445342,-79,4503599627370496,-52,6942843069404136,-102,5591760497397961,-77,8269444331995325,-105,-7126384649420262,-102,-6092704107920846,-102,8179086590176708,-102,6709575610329416,-53
-7940212556613953,-75,4503599627370497,-52,7180046012541617,-91,8041896859147777,-72,4634859770906854,-101,-7125246013182622,-91,-7120719782937596,-91,7180233330222312,-91,8932542853744440,-53
-8708733897426665,-79,4503599627370496,-52,5718749347524859,-105,7177040815062740,-79,-6359279522220113,-105,-6933222601671886,-106,-4912945411528028,-104,5260780517392228,-104,8411656426836471,-53
