0.0055,8.7065051689392598430218751146601618891667292108936450128731491481007098313655324765e-17
0.00055,8.0844711933278432124760037892903316726501152137257570586407529060850639405905031697e-17
0.000055,2.90567984690772198332935582763116310623219712288653510443440033715389806162608371124e-16
5.500000000000001e-6,3.25188026275362338047494513008476681869195402803259316515313443676309891232763623832e-16
5.5e-7,3.48174156149043351499215098808881223134196620802215827005093268407346096598420566325e-16
5.4999999999999996e-8,1.94850923331781642675892253951269286140574191675317717523637352332086455322893906136e-16
5.5000000000000004e-9,1.51210826211448793465990619606582481449680000148346635908869940306208497220551534142e-16
5.500000000000001e-10,1.66203630460470481323989411077991439762420036710826208054627890994232044456247493433e-16
5.5000000000000004e-11,1.71134208983985859413339320817919058526961506251783746594421702697784466561880846913e-16
5.4999999999999996e-12,2.02400653239921939772403143706317098526037479583279916439215022693053430059938407018e-16
5.5e-13,1.76806379714047638741540199448225495858352755618330521280370942323431134346985231624e-16
5.5e-14,1.71109274922585895816570083486018852990594742310557784845917347330416624907777132646e-16
5.5e-15,1.74910829941608147666606457268019689594908320207218328953702622852297529851872689949e-16
