"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",33.01543463489483062800295088775989848846220310371196653258087522,63005.8949972781117196135185761106975856667750020687232463034143,63005.8949972796546089979414982007605688784920873897486644251893,33.01543463489510789217890073725808672291380647639509099582592209,63005.8949972781942577507707836441669793435654184887150418074612,63005.894997278970459378316657022506152465193533389597219752494,63005.8949972784243652103294882910199010676147175415427845267421,63005.8949972782883022674791914663790806758796973871721294764464,1.13189683918211958911842767702857908912072242746e-16
"{2, 89}",3.498345285996986400855800236575748249889540689269152926683644751,143.5232637686877615986507035839794886492155956069287248020840022,143.5232637686886954590985016107757787495509000618862697851989318,3.49834528599699072448627207084674525004544129614038321311978462,143.5232637686877559255754916304443412177358842380053645940620055,143.5232637686882221959969412243916885123167889496777330851970175,143.5232637686879957674028464176035799936089631792243999693829556,143.5232637686877649372578340883587217813848301777234028608127321,1.37711257421220813041667168611217315283488024904e-16
"{89, 90}",1.508497693254637554959357306293580502997655356754069500231340159e6,9.21299531031723743306224051883595468983932137377300577419767694e13,9.22849895706150167808489500555816722492810084702306096171196693e13,1.508563725613233137131390314556954584257635055772285917516556047e6,9.21299531031723301372026548554991282949585036528622241936958586e13,9.22073408348499255267788821892828455322403693295371749114545488e13,9.23028788988540506398394587851634637449027554731888907861010073e13,9.21299531031723712968724927417471013273944983171089819322917717e13,0.000027064385180190645557346430877991865821439959126156686473214
