"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",1.189995883769336354854041021e-35,4.3826596596307898742081811976e-35,1.8859948665547516340599746306735e-32,9.44738291328763997648319598256e-33,5.1216413506390393943442770674e-35,9.457451047334721630211756776102e-33,7.33139333860204938208059815403e-34,4.9149986557425655070912694358e-35,7.38730406808639685964120442546e-34
"{2, 89}",9.004786867409544982139653718e-36,5.0475579064617198051512872011e-35,8.861019538124971532073535027479e-33,4.437076783589947674029413450335e-33,4.9333278574224133682122546057e-35,4.440089583068847972876527699063e-33,3.79665672873877495117389560902e-33,4.4829756955475253089337361869e-35,3.799853121757030016488129298656e-33
"{89, 90}",1.1223115400372060345372098197e-35,5.5099363143725190191772147974e-35,2.935052824859430836471781899318805820251259e-21,1.467526412429718257487770301376829745343206e-21,4.8519135058283893682134169557e-35,1.467526412429718794246870352958365081730974e-21,1.403906955173004179732613012735556691632557e-21,4.6916022612323794352050844263e-35,1.403906955173004109125236108426731826569448e-21
