"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",4.2960495072009477255129853705180440238143577e-20,5.1544179229191455772413511279348703690867376e-20,1.459853232843712513808652245771307517069339168e-18,7.30250855033384034675833737168135165169858464e-19,7.4676876488373470377851850587562252732009306e-20,7.33544508344774229394601010956800995711839757e-19,1.19665523215145471020879068151298024081219026e-19,4.012044690156534364718797786526317008708547e-21,1.18608087572237282689363757382185678520510584e-19
"{2, 89}",9.688583435171879473732503628544308661859245e-21,4.096055556770687298271902481819207681817018e-21,4.03900887439444240701736896859763769916685406e-19,2.01984897245098237538117600265417881311008454e-19,4.1889873129193978371899654924421621646009373e-20,2.19237419262022152425953905603533734432601857e-19,1.06761222580585754286386984395873171410639652e-19,4.38854156685355208102578510252625865740139e-21,1.05993623889099906753132706860440054319375921e-19
"{89, 90}",1.5953885463309143944175133643333417392675284e-20,6.696641476787396549250416902259819628377839e-21,1.40303562306457233292602245264752690406273186862189045434e-7,7.015160897110754464183055309434132350457916718928012298e-8,3.0737148077703018395302063531250695300760538e-20,7.0151608971112116850637852024669138744876097597837987117e-8,6.404199397396949324291745350264347967255344055454013045e-8,6.524447048638857444722746470914505633595338e-21,6.4041993973969894551677977279211554773549161300786282207e-8
