"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",5.14059989606021052164558839825235619702496501e-19,3.03268953146538050154395705127635614165352128e-19,1.5480045660762673634681778330097434098758920635e-17,7.745005915779912749482463631808963177639369868e-18,6.74898643006419415583775281910003428542010203e-19,7.778343443093833769028873688959270144042858219e-18,6.57431220907422724087009408927617645097468841e-19,3.2845552969162949806764785103007395732901224e-20,6.50057995323055682722861588265541777496908493e-19
"{2, 89}",8.6441083895607553204221311798431423235283282e-20,3.4080583217893998768410114451400194675546135e-20,3.760664725982824826185128072575083511981016404e-18,1.880540196839046495526165471114906539106814145e-18,1.99550944426596830480022278753528505217570005e-19,1.932730417352031795117503505470349567852204029e-18,8.18545250518882352441753304771732038664173781e-19,3.7695091324558070582773767324649772487303561e-20,8.12953913315352014724485059431674452106536633e-19
"{89, 90}",2.71774913244049374056924380374958442497471657e-19,4.8073392887252339165107400294283098511655884e-20,8.90653596824072653201848031025687464363810928845032638679e-7,4.45319542705595566698064985259722445353105097389293725414e-7,3.61330365965090260798577677415223333600298653e-19,4.45319542705639164721822302725831040302926685409841646641e-7,5.73037756369274054771629430632956767367160515678951254331e-7,4.6953863623672458021514843000076450980878041e-20,5.73037756369275196722393980844789905831535983994818212528e-7
