"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",1.217695938762274823048478208205563025443126631862e-15,1.759044634744509155416754665247648563257311342196e-15,7.1005390878444728377776537742197751777992557403226e-14,3.5508638927712132522338223992424876254937077836012e-14,2.330297308054675306690878820313271190604821688494e-15,3.5623528524816788751716828935996829885255358482549e-14,4.569852544685331021090133360344590867206271531125e-15,1.36750734273222605314244094931581896739701716668e-16,4.530859813557241689443658859952741842176803643177e-15
"{2, 89}",2.95762173158628759308772760184802150902222532697e-16,1.36291047995082013255528882631290446732824147794e-16,1.5728759040313708789503532416236859294943914088449e-14,7.867037557669713871490538985156361119271505233038e-15,7.68894190469792900617768635073126074152240472578e-16,8.246366030812049704984696356117557652982109299057e-15,4.234684838046007280570158670416038464081894456464e-15,1.42947062125689277997499102481085459504146230529e-16,4.207438067708918439870037648133377933215073747899e-15
"{89, 90}",1.165981906491265472292259748136189807400253276554e-15,2.01374587657654438286914336251574243641973545419e-16,0.004175647148511797859921982451977041609838618589590274803795576,0.002458567033809541824489538288639757516536678168284904784303955,1.698041999388917327025917632036755953498193759289e-15,0.002458567033809483153404146276097061409251787588271516025121356,0.001840071530040948985683819912060209351768786074726264105254949,1.96037871359927593760334165790272906194309155848e-16,0.001840071530040956352529660279923585432126677695195329138320484
