"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",5.504005496168642865962269511275009554067e-24,5.202534611540425459551857460054640609674e-24,2.16543456445627180370610802844021354154432e-22,1.08317113104388718695907214361219985067909e-22,8.703343557605038345888607893912360152151e-24,1.08583198211114588013636121638829944228629e-22,1.0949482767709923585714453136172520495984e-23,5.03035161810964783108411168026880626531e-25,1.0886469678412028818836518552009159823622e-23
"{2, 89}",1.132569171583605373544590757509076023321e-24,5.25274742122275955236288303341118339291e-25,6.2105688610317085804718455697764795703884e-23,3.1072524410010005606190712349718325677253e-23,3.619365452323698218263910942766017995331e-24,3.1569327637449222990969409883470539632171e-23,1.6420027014962721952138816478560730041504e-23,5.74311552609180358961947517851593032566e-25,1.627994562076869633898599300396712484598e-23
"{89, 90}",9.931462249322341086556286934477668310632e-24,7.52645457776992238884363960515291474969e-25,1.9895741269080592881928149317414332447977671092788028e-11,9.947870632668835686533214563524222135428463259684818e-12,1.1684005173738794189767139892525350682828e-23,9.947870632669599644399209360958657159077030732568166e-12,7.948590581792954897319092200036607265451912695478247e-12,7.29934366618167937445167950485872546393e-25,7.948590581792968202113336804698241206857746274675636e-12
