"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",9.169682837016409198189109053648909e-30,3.807154033606561238204453500825395e-30,1.0652102266142228881846356833742726e-28,5.3291920367247486908194002035359931e-29,1.1541241462647776512446702777394337e-29,5.3652223977771460151648929771575274e-29,9.128172759739090432432339261960973e-30,4.43743828898680805551358057547493e-31,9.049129283217004904942099840097292e-30
"{2, 89}",1.776386905507477131657361006682253e-30,4.87567640038620115319771428497287e-31,4.8280831594581067525511036063720678e-29,2.4150822872799526627157893360159179e-29,4.37558602526415829360837702361125e-30,2.6017506017236531890089918035305988e-29,1.2576816638125524615338641731257511e-29,5.20980588787628535225356031237467e-31,1.2464590096084049036268845460768899e-29
"{89, 90}",1.0161972680647561881421353390247964e-29,7.44143923287504953877987404947354e-31,1.0839265511346561422133940874392790303597419799e-17,5.419632755673283911260916016634645534703060323e-18,1.1273186239401278744453991077078067e-29,5.419632755674697520914495452559256044464630408e-18,8.221211972484376133502720525035214020218186535e-18,7.24376009104922584628448865268915e-31,8.221211972484399863244950494920429881240972473e-18
