"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",1.179487259466197279867526403357e-33,1.941426449365786558519220318392e-33,2.49132335693919104224061325537546e-31,1.25246907951872903188625611006897e-31,1.92471995330180673665495751315e-33,1.25339877669607724850587342179564e-31,1.7289052838161771994740764052647e-32,1.830366045153546685448684412701e-33,1.7143330833097015240669017479629e-32
"{2, 89}",9.68313085305344140002111937157e-34,1.863458019957808179387918962163e-33,3.39236385961080846021216265226556e-31,1.69803835040036481376756446492439e-31,1.894163628098617220498680033837e-33,1.69890875561197545026690164750546e-31,9.3467407024669380125486232610805e-32,1.77700763497422134675350794767e-33,9.3553410049887682565224265497358e-32
"{89, 90}",1.145449372343354321958412672851e-33,2.101609639415883807903901695401e-33,7.0437022506817974134410730628961631357678792e-20,3.5218511253408944066881946714753694912363409e-20,1.944214044186110264591652211083e-33,3.5218511253408988189547361869257332184857522e-20,3.6394099162858253541228433405661810438665877e-20,1.83854170870766859572615527909e-33,3.6394099162858195133422161205004776745547621e-20
