"range","nx","normNSquared","sSquare","s","znxnz","sny","znxnzsny","nxSquarenySquareDenom","px"
"{0, 1}",7.78352054918547683322502549838e-34,6.7369077133480346832424404508807692e-29,2.63039614628612092846770977258393529e-28,1.31520205223536158872359284232070218e-28,2.94808728937322368112079664893327e-31,1.31522100757748784541389985651450495e-28,4.0489629825299512537132466940775693127400613964e-17,3.8140348761822118347813470297995770410890498588e-17,6.3364884693492498590765044263907628241438654792e-17
"{2, 89}",8.60060511611275850836280164501e-34,2.5791131886622958894928250222858e-32,3.101679408245124178804667253977997e-30,1.550798560246887123231233104422361e-30,1.21641044949084540054840693041273e-31,1.552092369727114035137336197832776e-30,4.0571301075041837972769602878441871574396985873e-17,3.8382567626532691629179479548414609037913348628e-17,6.5839668984959449734132627282067730668018945846e-17
"{89, 90}",1.224709597580003508543792423756e-33,2.64825418367442600973667335220311e-31,3.98964682561549064272746002522183117432497038e-19,1.99482341280774542821371249197647888981358807e-19,3.18560412251648629049314273464549e-31,1.99482341280774680521898272837373338809818597e-19,3.96797128650018490168428721955331356043234727e-17,4.0115661819615333527500271877492730616457990378e-17,6.5597473816769107862885023968529081538427427889e-17
